Name,Player Number,Position,Team Name,Height,College / Home Club,league
Saskia Hippe,91.0,Opposite Hitter,Vegas Thrill,6'1,,pvf
Willow Johnson,4.0,Opposite Hitter,Vegas Thrill,6'3,Oregon,pvf
Grace Loberg,9.0,Outside Hitter,Vegas Thrill,6'3,Wisconsin,pvf
Hannah Maddux,11.0,Outside Hitter,Vegas Thrill,6'2,South Alabama,pvf
Allison Mayfield,15.0,Outside Hitter,Vegas Thrill,6'1,Kansas,pvf
Berkeley Oblad,12.0,Middle Blocker,Vegas Thrill,6'4,Utah,pvf
Layne Van Buskirk,4.0,Middle Blocker,Vegas Thrill,6'4,Pitt,pvf
Kendall White,3.0,Libero,Vegas Thrill,5'7,Penn State,pvf
Piyanut Pannoy,2.0,Libero,Atlanta,5-6,,lovb
Marta Bechis,3.0,Setter,Atlanta,5-11,,lovb
Jessica Rivero Marin,4.0,Outside Hitter,Atlanta,6-0,,lovb
Kayla Haneline,8.0,Middle Blocker,Atlanta,6-2,University of Northern Iowa,lovb
Iga Wasilewska,9.0,Middle Blocker,Atlanta,6-0,LTS Legionovia Legionowo,lovb
Madi Bugg,10.0,Setter,Atlanta,6-1,Stanford,lovb
Onye Ofoegbu,11.0,Middle Blocker,Atlanta,6-3,Oregon and UC Irvine,lovb
McKenzie Adams,13.0,Outside Hitter,Atlanta,6-4,Univ. Texas at San Antonio,lovb
Tia Jimerson,14.0,Middle Blocker,Atlanta,6-3,Ohio University,lovb
Magdalena Jehl,15.0,Middle Blocker,Atlanta,6-3,Washington State,lovb
Beatrice Negretti,16.0,Libero,Atlanta,5-7,,lovb
Tessa Grubbs,17.0,Opposite Hitter,Atlanta,6-3,University of Tennessee,lovb
Danielle Cuttino,20.0,Opposite Hitter,Atlanta,6-4,Purdue University,lovb
Kelsey Cook,23.0,Outside Hitter,Atlanta,6-2,University of Nebraska,lovb
Gia Day,77.0,Outside Hitter,Atlanta,6-2,"University of Maryland, Baylor",lovb
Khat Bell,1.0,Opposite Hitter,Austin,6-2,Texas,lovb
Leah Hardeman,2.0,Outside Hitter,Austin,5-10,Coastal Carolina,lovb
Carli Lloyd,3.0,Setter,Austin,5-11,Cal Berkeley,lovb
Molly McCage,5.0,Middle Blocker,Austin,6-4,Texas,lovb
Alessia Gennari,6.0,Outside Hitter,Austin,6-0,,lovb
Asjia O,7.0,Middle Blocker,Austin,6-3,Texas,lovb
Saige Ka,9.0,Setter,Austin,6-0,Utah / Texas,lovb
Zoe Jarvis,10.0,Libero,Austin,5-7,University of Texas,lovb
Chiaka Ogbogu,11.0,Middle Blocker,Austin,6-2,University of Texas,lovb
Carly DeHoog,12.0,Opposite Hitter,Austin,6-4,University of Washington,lovb
Juliann Faucette,13.0,Opposite Hitter,Austin,6-2,University of Texas,lovb
Kotoe Inoue,15.0,Libero,Austin,5-3,,lovb
Madisen Skinner,16.0,Opposite Hitter,Austin,6-2,Texas/Kentucky,lovb
Anna Haak,17.0,Outside Hitter,Austin,5-10,,lovb
Logan Eggleston,33.0,Outside Hitter,Austin,6-2,University of Texas,lovb
Grace Frohling,1.0,Opposite Hitter,Houston,6-5,University of San Diego,lovb
Karin Palgutova,2.0,Outside Hitter,Houston,6-2,St. John's University,lovb
Amber Igiede,3.0,Middle Blocker,Houston,6-3,University of Hawaii,lovb
Anna Pogany,4.0,Libero,Houston,5-7,,lovb
NewJess Mruzik,5.0,Outside Hitter,Houston,6-1,Penn State/Michigan,lovb
Raphaela Folie,7.0,Middle Blocker,Houston,6-1,,lovb
Christina Bauer,8.0,Middle Blocker,Houston,6-5,"VBC Kingersheim, ASPTT Mulhouse",lovb
Madi Rishel,9.0,Outside Hitter,Houston,6-0,University of Arizona,lovb
Kaisa Alanko,10.0,Setter,Houston,5-9,University of Jyväskylä,lovb
Anita Anwusi,11.0,Middle Blocker,Houston,6-3,LSU,lovb
Micha Hancock,12.0,Setter,Houston,5-11,Penn State University,lovb
Julia Brown,14.0,Outside Hitter,Houston,6-1,NC State,lovb
Sara Loda,17.0,Outside Hitter,Houston,5-9,Bergamo Youth Team,lovb
Key Alves,18.0,Libero,Houston,5-5,,lovb
Jordan Thompson,23.0,Opposite Hitter,Houston,6-4,University of Cincinnati,lovb
Daly Santana,1.0,Outside Hitter,Madison,6-1,University of Minnesota,lovb
Anna Hall,2.0,Middle Blocker,Madison,6-2,Louisville,lovb
Mariena Hayden,3.0,Outside Hitter,Madison,6-0,UNLV,lovb
Milica Medved,4.0,Libero,Madison,5-11,,lovb
Simin Wang,5.0,Libero,Madison,5-5,,lovb
Jennifer Janiska,6.0,Outside Hitter,Madison,6-0,,lovb
Lauren Carlini,7.0,Setter,Madison,6-1,University of Wisconsin,lovb
Claire Felix,8.0,Middle Blocker,Madison,6-6,UCLA,lovb
Claire Chaussee,9.0,Outside Hitter,Madison,6-0,Louisville,lovb
Taylor Sandbothe,10.0,Middle Blocker,Madison,6-2,Ohio State,lovb
Annie Schumacher,11.0,Opposite Hitter,Madison,6-4,Purdue University,lovb
Temi Thomas,12.0,Opposite Hitter,Madison,6-2,Wisconsin and Northwestern,lovb
Sarah Franklin,13.0,Outside Hitter,Madison,6-4,Wisconsin and Michigan State,lovb
Danica Markovic,14.0,Setter,Madison,6-1,,lovb
Ana Beatriz Correa,27.0,Middle Blocker,Madison,6-2,,lovb
Lexi Rodriguez,1.0,Libero,Omaha,5-5,Nebraska,lovb
Emily Thater,2.0,Middle Blocker,Omaha,6-3,University of Missouri,lovb
Annie Cesar,3.0,Libero,Omaha,5-8,,lovb
Justine Wong,4.0,Libero,Omaha,5-6,University of Nebraska,lovb
Jaali Winters,5.0,Outside Hitter,Omaha,6-3,Creighton University,lovb
Vicky Savard,7.0,Outside Hitter,Omaha,6-1,Université de Montréal,lovb
Kimberly Drewniok,8.0,Opposite Hitter,Omaha,6-2,RC Sorpesee Club,lovb
Jordan Larson,10.0,Outside Hitter,Omaha,6-2,University of Nebraska,lovb
Amber Stivrins,11.0,Outside Hitter,Omaha,6-2,"Louisville, Georgia, USD",lovb
Audriana Fitzmorris,12.0,Opposite Hitter,Omaha,6-6,Stanford,lovb
Gabby Blossom,13.0,Setter,Omaha,5-9,University of San Diego and Penn State,lovb
Laura Dijkema,14.0,Setter,Omaha,6-0,Smash,lovb
Candelaria Herrera,17.0,Middle Blocker,Omaha,6-0,Florida A&M / Iowa State,lovb
