#,Name,Class,Position,Height,Hometown,High School,team_id,conference_short,conference_name,team_name,division,team_short
22,Kennedi Bray,Jr.,OH,6-2,"Austin, TX",McNeil HS,288,Big 12,Big 12 Conference,University of Houston,D-I,Houston
14,Ella Wendel,Jr.,MB,6-1,"Pflugerville, TX",Hendrickson HS,288,Big 12,Big 12 Conference,University of Houston,D-I,Houston
15,Paige Bernstein,Jr.,S,5-8,"The Woodlands, TX",The Woodlands College Park,288,Big 12,Big 12 Conference,University of Houston,D-I,Houston
9,Avery Shimaitis,Jr.,OH,6-0,"Sugar Land, TX",George Ranch HS,288,Big 12,Big 12 Conference,University of Houston,D-I,Houston
6,Ella Busey,So.,OH,6-0,"Colleyville, TX",Colleyville Heritage HS,288,Big 12,Big 12 Conference,University of Houston,D-I,Houston
23,Ashlyn Bellamy,So.,OH,6-1,"Lee's Summit, MO",Lee's Summit HS,288,Big 12,Big 12 Conference,University of Houston,D-I,Houston
4,Coley Shiflet,Fr.,L/DS,5-5,"Randleman, NC",Southwestern Randolph HS,288,Big 12,Big 12 Conference,University of Houston,D-I,Houston
5,Lily Barron,Fr.,OH,6-2,"Lewis Center, OH",Olentangy Orange HS,288,Big 12,Big 12 Conference,University of Houston,D-I,Houston
12,Addisyn Pohl,Fr.,MB,6-4,"Waddell, AZ",Shadow Ridge HS,288,Big 12,Big 12 Conference,University of Houston,D-I,Houston
8,Aziah Buckner,Sr.,OH,6-0,"Memphis, TN",Briarcrest Christian School,290,MEAC,Mid-Eastern Athletic Conf.,Howard University,D-I,Howard
12,Amanda Ifeanyichukwu,Sr.,MB,5-11,"The Woodlands, TX",The Woodlands HS,290,MEAC,Mid-Eastern Athletic Conf.,Howard University,D-I,Howard
2,Taylor Johnson,Sr.,L,5-2,"South Fulton, GA",The Heritage School,290,MEAC,Mid-Eastern Athletic Conf.,Howard University,D-I,Howard
3,Bria Woodard,Sr.,OH,6-3,"Missouri City, TX",Episcopal HS,290,MEAC,Mid-Eastern Athletic Conf.,Howard University,D-I,Howard
17,Cimone Woodard,Sr.,MB,6-3,"Missouri City, TX",Episcopal HS,290,MEAC,Mid-Eastern Athletic Conf.,Howard University,D-I,Howard
6,Maya Gerlach,Sr.,MB,6-4,"Philadelphia, PA",Springside Chestnut Hill Academy,290,MEAC,Mid-Eastern Athletic Conf.,Howard University,D-I,Howard
28,Dami Awojobi,Sr.,OH,6-1,"Hempstead, NY",Midtown HS,290,MEAC,Mid-Eastern Athletic Conf.,Howard University,D-I,Howard
4,Claire Simpson,Jr.,L,5-6,"Plainfield, IL",Plainfield North H.S.,290,MEAC,Mid-Eastern Athletic Conf.,Howard University,D-I,Howard
9,Rya McKinnon,Jr.,OH,5-11,"Hoover, AL",Hoover H.S.,290,MEAC,Mid-Eastern Athletic Conf.,Howard University,D-I,Howard
11,Maddie Siegel,Jr.,OH,5-11,"Fishers, IN",Brebeuf Jesuit Prep,290,MEAC,Mid-Eastern Athletic Conf.,Howard University,D-I,Howard
13,Leah Reeves,Jr.,S,5-9,"Allen, TX",Allen H.S.,290,MEAC,Mid-Eastern Athletic Conf.,Howard University,D-I,Howard
20,Gabby Allen,So.,L,5-5,"Laurel, MD",Reservoir HS,290,MEAC,Mid-Eastern Athletic Conf.,Howard University,D-I,Howard
22,Sydnei Jones,So.,S,5-8,"Bridgeville, PA",North Catholic HS,290,MEAC,Mid-Eastern Athletic Conf.,Howard University,D-I,Howard
15,Kaitlynn Robinson,So.,MB,6-3,"Oklahoma City, OK",Westmoore HS,290,MEAC,Mid-Eastern Athletic Conf.,Howard University,D-I,Howard
27,Yamari Thomas,Fr.,MB,5-9,"Houston, TX",Summer Creek HS,290,MEAC,Mid-Eastern Athletic Conf.,Howard University,D-I,Howard
16,Bailey Hollis,Fr.,S,6-0,"Orlando, FL",Montverde Academy,290,MEAC,Mid-Eastern Athletic Conf.,Howard University,D-I,Howard
1,Halie McGinest,Fr.,DS,5-10,"Calabasas, CA",Sierra Canyon HS,290,MEAC,Mid-Eastern Athletic Conf.,Howard University,D-I,Howard
14,Sadie Bluth,Sr.,OH,5-10,"Mesa, AZ",,294,BSC,Big Sky Conference,Idaho State University,D-I,Idaho St.
8,Jamie Streit,Sr.,OH,5-9,"Pinedale, WY",,294,BSC,Big Sky Conference,Idaho State University,D-I,Idaho St.
20,Asiah Sopoaga,Sr.,L,5-8,"Bluffdale, UT",,294,BSC,Big Sky Conference,Idaho State University,D-I,Idaho St.
21,Aliyah Sopoaga,Sr.,S,5-8,"Bluffdale, UT",,294,BSC,Big Sky Conference,Idaho State University,D-I,Idaho St.
12,Peyton Michaelson,Sr.,MB,6-2,"Erie, CO",,294,BSC,Big Sky Conference,Idaho State University,D-I,Idaho St.
2,Lauren Mena,Sr.,S,5-10,"Fountain Valley, CA",,294,BSC,Big Sky Conference,Idaho State University,D-I,Idaho St.
7,Meline Robarge,Jr.,OPP,5-11,"Spanish Fork, UT",,294,BSC,Big Sky Conference,Idaho State University,D-I,Idaho St.
15,Marci Bell,So.,MB,5-9,"Henefer, UT",North Summit,294,BSC,Big Sky Conference,Idaho State University,D-I,Idaho St.
25,Brinley Smith,Sr.,OH,6-1,"Tooele, UT",,294,BSC,Big Sky Conference,Idaho State University,D-I,Idaho St.
5,Chloe Heimlicher,So.,DS,5-6,"Parker, CO",,294,BSC,Big Sky Conference,Idaho State University,D-I,Idaho St.
10,Dani Cranford,So.,OH,5-10,"Highlands Ranch, CO",Highlands Ranch,294,BSC,Big Sky Conference,Idaho State University,D-I,Idaho St.
0,Kait White,Sr.,MB,6-1,"Layton, UT",CSI,294,BSC,Big Sky Conference,Idaho State University,D-I,Idaho St.
26,Jaydin Watts,So.,MB,6-2,"Lancaster, CA",,294,BSC,Big Sky Conference,Idaho State University,D-I,Idaho St.
3,Abby McClain,Fr.,OH,6-1,"Twin Falls, ID",Canyon Ridge,294,BSC,Big Sky Conference,Idaho State University,D-I,Idaho St.
17,Annelie Wilson,Fr.,OH,6-2,"Horseshoe Bend, ID",Horseshoe Bend,294,BSC,Big Sky Conference,Idaho State University,D-I,Idaho St.
1,Sydney Hess,So.,S,-,"Idaho Falls, ID",CSI,294,BSC,Big Sky Conference,Idaho State University,D-I,Idaho St.
4,Jenna Werbelow,Fr.,DS,5-5,"Phoenix, AZ",,294,BSC,Big Sky Conference,Idaho State University,D-I,Idaho St.
9,Tana Howard,Fr.,OPP,6-2,"Gilbert, AZ",,294,BSC,Big Sky Conference,Idaho State University,D-I,Idaho St.
11,Ashlyn Smith,Fr.,MB,6-1,"Pocatello, ID",,294,BSC,Big Sky Conference,Idaho State University,D-I,Idaho St.
13,Ava Brickner,Fr.,OH,5-10,"Boise, ID",,294,BSC,Big Sky Conference,Idaho State University,D-I,Idaho St.
17,Miya Carmichael,Sr.,S,5-8,"Murrieta, CA",Murrieta Valley HS,295,BSC,Big Sky Conference,University of Idaho,D-I,Idaho
7,Taylor Brickey,Jr.,OH,5-11,"Bend, OR",Summit HS,295,BSC,Big Sky Conference,University of Idaho,D-I,Idaho
8,Julia Dickeson,Jr.,MB,6-0,"Lewiston, ID",Lewiston HS,295,BSC,Big Sky Conference,University of Idaho,D-I,Idaho
3,Duru Vardan,Jr.,L,5-7,"Istanbul, Turkey",Oran Schools,295,BSC,Big Sky Conference,University of Idaho,D-I,Idaho
13,Chiara Gennari,So.,S,6-0,"Barcelona, Spain",IES Joaquim Blume,295,BSC,Big Sky Conference,University of Idaho,D-I,Idaho
1,Rana Kamis,Jr.,OH,5-11,"Istanbul, Turkey",Ozel Bilim Yasam Andolu Lisesi,295,BSC,Big Sky Conference,University of Idaho,D-I,Idaho
5,Lauryn Arnold,Sr.,MB,6-1,"Kaysville, UT",Kaysville High School,295,BSC,Big Sky Conference,University of Idaho,D-I,Idaho
10,Natalia Wielgus,So.,S,6-1,"Ldz, Poland",,295,BSC,Big Sky Conference,University of Idaho,D-I,Idaho
19,Emma Patterson,Sr.,MB,6-0,"Boise, ID",Boise Senior High School,295,BSC,Big Sky Conference,University of Idaho,D-I,Idaho
18,Ceren Sert,So.,MB,6-1,"Ankara, Turkey",TVF Sport High School,295,BSC,Big Sky Conference,University of Idaho,D-I,Idaho
20,Zuzanna Wieczorek,So.,OPP,6-1,"Luban, Poland",Secondary School of Sports Championship,295,BSC,Big Sky Conference,University of Idaho,D-I,Idaho
2,Nisan Ozdogan,Fr.,OH,6-0,"Ankara, Turkey",Sinav High School,295,BSC,Big Sky Conference,University of Idaho,D-I,Idaho
15,Madu Fontes,Jr.,OH,6-0,"Palmas Tocantins, Brazil",Padre Machado School,295,BSC,Big Sky Conference,University of Idaho,D-I,Idaho
16,Ada Isik,Fr.,L,5-3,"Izmir, Turkey",Isikkent Anatolian High School,295,BSC,Big Sky Conference,University of Idaho,D-I,Idaho
21,Maggie McCrary,Sr.,MB,6-1,"Traverse City, MI",Traverse City Central,299,MVC,Missouri Valley Conference,Illinois State University,D-I,Illinois St.
11,Kendall Burk,Jr.,S,6-0,"Bloomington, IL",University,299,MVC,Missouri Valley Conference,Illinois State University,D-I,Illinois St.
44,Mekaila Aupiu,Sr.,S,5-10,"Spring, TX",Klein Collins,299,MVC,Missouri Valley Conference,Illinois State University,D-I,Illinois St.
9,Megan Haynes,Sr.,OH,6-0,"Surrey, Canada",Regent Christian Academy,299,MVC,Missouri Valley Conference,Illinois State University,D-I,Illinois St.
6,Logan Grevengoed,So.,MH,6-3,"South Holland, IL",Chicago Christian,299,MVC,Missouri Valley Conference,Illinois State University,D-I,Illinois St.
7,Aida Shadewald,Jr.,OH,6-1,"Prairie du Sac, WI",Sauk Prairie,299,MVC,Missouri Valley Conference,Illinois State University,D-I,Illinois St.
19,Hannah Reichensperger,Jr.,MB,6-1,"Tower, MN",Northeast Range,299,MVC,Missouri Valley Conference,Illinois State University,D-I,Illinois St.
5,Samantha Bunch,Jr.,S,5-8,"Romeoville, IL",Romeoville,299,MVC,Missouri Valley Conference,Illinois State University,D-I,Illinois St.
13,Colleen Hege,Jr.,L,5-8,"Champaign, IL",Saint Thomas More,299,MVC,Missouri Valley Conference,Illinois State University,D-I,Illinois St.
4,Madison Smith,So.,L,5-7,"St. Louis, MO",St. Joseph's Academy,299,MVC,Missouri Valley Conference,Illinois State University,D-I,Illinois St.
3,Caitlyn Little,So.,OH,5-10,"Ballwin, MO",Lafayette,299,MVC,Missouri Valley Conference,Illinois State University,D-I,Illinois St.
14,Ally Saleh,So.,OH,5-11,"Waunakee, WI",Waunakee,299,MVC,Missouri Valley Conference,Illinois State University,D-I,Illinois St.
16,Abby Reck,So.,OH,6-2,"Northville, MI",Northville,299,MVC,Missouri Valley Conference,Illinois State University,D-I,Illinois St.
1,Ruth Ziegler,Fr.,OPP,6-3,"Gurnee, IL",Warren Township,299,MVC,Missouri Valley Conference,Illinois State University,D-I,Illinois St.
2,Khenedi Guest,Fr.,MB,6-2,"Benton, AR",Benton,299,MVC,Missouri Valley Conference,Illinois State University,D-I,Illinois St.
10,Oliwia Caputa,Fr.,OH,5-8,"Krzywiec, Poland",Szkola Mistrzostwa Sportowego w Zywcu,299,MVC,Missouri Valley Conference,Illinois State University,D-I,Illinois St.
17,Lauren Salata,Fr.,OH,5-9,"Westchester, IL",Nazareth Academy,299,MVC,Missouri Valley Conference,Illinois State University,D-I,Illinois St.
18,Olivia Baierl,Fr.,L,5-9,"Howards Grove, WI",Howards Grove,299,MVC,Missouri Valley Conference,Illinois State University,D-I,Illinois St.
15,Lilly Croshaw,Fr.,OPP,6-3,"Justin, TX",Northwest,299,MVC,Missouri Valley Conference,Illinois State University,D-I,Illinois St.
12,Raina Terry,Sr.,OH,6-1,"Marengo, OH",Highland,301,Big Ten,Big Ten Conference,University of Illinois Urbana-Champaign,D-I,Illinois
24,Christina Martinez Mundo,Sr.,L/DS,5-4,"San Juan, Puerto Rico",Colegio Rosa-Bell,301,Big Ten,Big Ten Conference,University of Illinois Urbana-Champaign,D-I,Illinois
2,Raegen Reilly,Sr.,S,5-10,"Sioux Falls, SD",O'Gorman,301,Big Ten,Big Ten Conference,University of Illinois Urbana-Champaign,D-I,Illinois
9,Kayla Burbage,Sr.,OPP,6-4,"Clayton, NC",Clayton,301,Big Ten,Big Ten Conference,University of Illinois Urbana-Champaign,D-I,Illinois
10,Caroline Barnes,Sr.,L/DS,5-11,"Naperville, IL",Benet Academy,301,Big Ten,Big Ten Conference,University of Illinois Urbana-Champaign,D-I,Illinois
7,Sarah Bingham,Sr.,MB,6-3,"Fairway, KS",Shawnee Mission East,301,Big Ten,Big Ten Conference,University of Illinois Urbana-Champaign,D-I,Illinois
22,Brooke Mosher,Jr.,S,6-0,"Waterloo, WI",Waterloo,301,Big Ten,Big Ten Conference,University of Illinois Urbana-Champaign,D-I,Illinois
8,Averie Hernandez,Jr.,OH,6-2,"Bloomington, IL",Normal Community West,301,Big Ten,Big Ten Conference,University of Illinois Urbana-Champaign,D-I,Illinois
4,Bianca May,So.,S,5-8,"Orland Park, IL",Carl Sandburg,301,Big Ten,Big Ten Conference,University of Illinois Urbana-Champaign,D-I,Illinois
11,Cari Bohm,So.,MB,6-4,"Ann Arbor, MI",Skyline,301,Big Ten,Big Ten Conference,University of Illinois Urbana-Champaign,D-I,Illinois
3,Lily Barry,So.,L/DS,5-6,"Emden, IL",University,301,Big Ten,Big Ten Conference,University of Illinois Urbana-Champaign,D-I,Illinois
5,Taylor de Boer,Fr.,OH,6-4,"Kelowna, Canada",Okanagan Mission Secondary,301,Big Ten,Big Ten Conference,University of Illinois Urbana-Champaign,D-I,Illinois
15,Gabby Dean,Fr.,MB,6-4,"Columbus, IN",Columbus East,301,Big Ten,Big Ten Conference,University of Illinois Urbana-Champaign,D-I,Illinois
19,Vivian Campbell,So.,S,5-10,"Oswego, IL",Oswego East,301,Big Ten,Big Ten Conference,University of Illinois Urbana-Champaign,D-I,Illinois
13,Kenzie Cogan,Fr.,L/DS,5-7,"Cincinnati, OH",Mount Notre Dame,301,Big Ten,Big Ten Conference,University of Illinois Urbana-Champaign,D-I,Illinois
16,Ashlyn Philpot,Fr.,MB,6-4,"Greenville, NC",DH Conley,301,Big Ten,Big Ten Conference,University of Illinois Urbana-Champaign,D-I,Illinois
17,Christine Pullen,Fr.,L/DS,5-6,"Naperville, IL",Benet Academy,301,Big Ten,Big Ten Conference,University of Illinois Urbana-Champaign,D-I,Illinois
23,Laynie Smith,Fr.,OPP,6-3,"Durham, NC",Chapel Hill,301,Big Ten,Big Ten Conference,University of Illinois Urbana-Champaign,D-I,Illinois
15,Zahria Woodard,Sr.,MB,6-1,"Oak Park, IL",Oak Park and River Forest,302,MVC,Missouri Valley Conference,University of Illinois Chicago,D-I,UIC
28,Natalie Chizzo,Sr.,OH,6-2,"Oak Park, IL",Oak Park-River Forest HS,302,MVC,Missouri Valley Conference,University of Illinois Chicago,D-I,UIC
5,Kayanna Jones,Sr.,MB,6-2,"Normal, IL",Normal West,302,MVC,Missouri Valley Conference,University of Illinois Chicago,D-I,UIC
2,Cleo Lorenzo,Jr.,OH,5-11,"Belo Horizonte, Brazil",Elite,302,MVC,Missouri Valley Conference,University of Illinois Chicago,D-I,UIC
22,Jillian Santos,Jr.,OH,5-10,"Manila, Philippines",,302,MVC,Missouri Valley Conference,University of Illinois Chicago,D-I,UIC
3,Francesca Venturini,Jr.,S,5-11,"Bergamo, Italy",Liceo Classico Paolo Sarpi,302,MVC,Missouri Valley Conference,University of Illinois Chicago,D-I,UIC
4,Jada Young,Jr.,L,5-6,"St. Paul, MN",Central,302,MVC,Missouri Valley Conference,University of Illinois Chicago,D-I,UIC
13,Ayat Amin,Jr.,OH,5-10,"Cairo, Egypt",Al Waha International School,302,MVC,Missouri Valley Conference,University of Illinois Chicago,D-I,UIC
8,Tamara Kisic,So.,OH,5-7,"Belgrade, Serbia",,302,MVC,Missouri Valley Conference,University of Illinois Chicago,D-I,UIC
9,Gabi Peter,So.,OH,6-0,"Gilbert, IL",Hampshire High School,302,MVC,Missouri Valley Conference,University of Illinois Chicago,D-I,UIC
10,Mihaela Harizanova,Fr.,S,6-0,"Sofia, Bulgaria",,302,MVC,Missouri Valley Conference,University of Illinois Chicago,D-I,UIC
24,Hannah Ditsworth,Fr.,MB,6-2,"Bondurant, IA",Bondurant-Farrar High School,302,MVC,Missouri Valley Conference,University of Illinois Chicago,D-I,UIC
18,Za'Niya Boyles,So.,OH,5-9,"Columbia, SC",Gray Collegiate Academy,302,MVC,Missouri Valley Conference,University of Illinois Chicago,D-I,UIC
19,Hannah Howard,So.,DS,5-5,"Toledo, OH",Saint Ursula Academy,302,MVC,Missouri Valley Conference,University of Illinois Chicago,D-I,UIC
1,Beatrice Carulli,Jr.,OH,5-10,"Rome, Italy",,302,MVC,Missouri Valley Conference,University of Illinois Chicago,D-I,UIC
6,Kinzley Brown-Riggins,Fr.,MB,6-2,"Fort Worth, TX",Crowley,302,MVC,Missouri Valley Conference,University of Illinois Chicago,D-I,UIC
7,Rianne Hulst,Fr.,OH,6-1,"Zevenulzen, Netherlands",,302,MVC,Missouri Valley Conference,University of Illinois Chicago,D-I,UIC
16,Antonie Kelnárová,Fr.,OH,-,"Prague, Czechia",,302,MVC,Missouri Valley Conference,University of Illinois Chicago,D-I,UIC
17,Jillian Gibbons,Fr.,MB,6-3,"Roselle, IL",Lake Park,302,MVC,Missouri Valley Conference,University of Illinois Chicago,D-I,UIC
21,Alysia Perez,Fr.,S,5-8,"Geneseo, IL",Geneseo,302,MVC,Missouri Valley Conference,University of Illinois Chicago,D-I,UIC
23,Mia Telechbush,Fr.,L,5-5,"Lexington, KY",Dunbar,302,MVC,Missouri Valley Conference,University of Illinois Chicago,D-I,UIC
3,Emma Kaelin,Sr.,DS,5-8,"Clarksville, IN",Providence,305,MVC,Missouri Valley Conference,Indiana State University,D-I,Indiana St.
10,Emily Weber,Jr.,S,6-0,"Fishers, IN",Hamilton Southeastern,305,MVC,Missouri Valley Conference,Indiana State University,D-I,Indiana St.
5,Cadence Gilley,Jr.,L/DS,5-4,"Columbus, IN",Columbus East,305,MVC,Missouri Valley Conference,Indiana State University,D-I,Indiana St.
1,Hannah Baudin,Sr.,S,6-0,"Crystal Lake, IL",Prairie Ridge,305,MVC,Missouri Valley Conference,Indiana State University,D-I,Indiana St.
4,Ella Scott,So.,MB,6-1,"Plainfield, IN",Plainfield,305,MVC,Missouri Valley Conference,Indiana State University,D-I,Indiana St.
7,Jadyn Smith,So.,OH,6-0,"Leopold, IN",Perry Central,305,MVC,Missouri Valley Conference,Indiana State University,D-I,Indiana St.
16,Macy Lengacher,So.,L/DS,5-4,"Wakarusa, IN",NorthWood,305,MVC,Missouri Valley Conference,Indiana State University,D-I,Indiana St.
18,Kira Holland,So.,OH,6-2,"Medina, OH",Medina,305,MVC,Missouri Valley Conference,Indiana State University,D-I,Indiana St.
19,Avery Hales,So.,S,5-11,"Cromwell, IN",Warsaw Community,305,MVC,Missouri Valley Conference,Indiana State University,D-I,Indiana St.
21,Ava Rundle,So.,DS,5-4,"Noblesville, IN",Noblesville,305,MVC,Missouri Valley Conference,Indiana State University,D-I,Indiana St.
6,Lily Mueller,So.,MB,6-1,"Genoa, IL",Genoa-Kingston,305,MVC,Missouri Valley Conference,Indiana State University,D-I,Indiana St.
2,Chloe Gilley,Fr.,L/DS,5-4,"Columbus, IN",Columbus East,305,MVC,Missouri Valley Conference,Indiana State University,D-I,Indiana St.
9,Anna Ptacin,Fr.,MB,6-2,"Roscoe, IL",Hononegah,305,MVC,Missouri Valley Conference,Indiana State University,D-I,Indiana St.
11,Emmy Sher,Fr.,L/DS,5-8,"Lenexa, KS",Olathe Northwest,305,MVC,Missouri Valley Conference,Indiana State University,D-I,Indiana St.
12,Josilyn Wadas,Fr.,MB,6-1,"Mundelein, IL",Mundelein,305,MVC,Missouri Valley Conference,Indiana State University,D-I,Indiana St.
14,Curry Kendall,Fr.,OH,6-1,"Tulsa, OK",Bishop Kelley,305,MVC,Missouri Valley Conference,Indiana State University,D-I,Indiana St.
16,Morgan Geddes,Sr.,OH,6-2,"Grove City, OH",Central Crossing,306,Big Ten,Big Ten Conference,"Indiana University, Bloomington",D-I,Indiana
4,Mady Saris,Sr.,OH,6-1,"Burlington, Canada",Notre Dame Catholic Secondary,306,Big Ten,Big Ten Conference,"Indiana University, Bloomington",D-I,Indiana
6,Kenzie Daffinee,Sr.,OH,6-0,"Westfield, IN",Westfield,306,Big Ten,Big Ten Conference,"Indiana University, Bloomington",D-I,Indiana
2,Carly Mills,Sr.,L/DS,5-7,"Fishers, IN",Hamilton Southeastern,306,Big Ten,Big Ten Conference,"Indiana University, Bloomington",D-I,Indiana
10,Camryn Haworth,Sr.,S,5-10,"Fishers, IN",Fishers,306,Big Ten,Big Ten Conference,"Indiana University, Bloomington",D-I,Indiana
3,Candela Alonso-Corcelles,Jr.,OH,6-2,"Madrid, Spain",CV Alcobendas,306,Big Ten,Big Ten Conference,"Indiana University, Bloomington",D-I,Indiana
1,Madi Sell,Jr.,MB,6-3,"Ballwin, MO",Marquette,306,Big Ten,Big Ten Conference,"Indiana University, Bloomington",D-I,Indiana
13,Avry Tatum,Jr.,OPP,6-2,"Solana Beach, CA",La Costa Canyon,306,Big Ten,Big Ten Conference,"Indiana University, Bloomington",D-I,Indiana
8,Luca Fickell,So.,S,6-1,"Cincinnati, OH",St. Ursula Academy,306,Big Ten,Big Ten Conference,"Indiana University, Bloomington",D-I,Indiana
11,Ava Vickers,So.,MB,6-0,"Fishers, IN",Fishers,306,Big Ten,Big Ten Conference,"Indiana University, Bloomington",D-I,Indiana
32,Ramsey Gary,So.,L,5-7,"Pendleton, IN",Pendleton Heights,306,Big Ten,Big Ten Conference,"Indiana University, Bloomington",D-I,Indiana
14,Emma Segal,Fr.,DS,5-6,"Brookston, IN",Frontier,306,Big Ten,Big Ten Conference,"Indiana University, Bloomington",D-I,Indiana
15,Sade Ilawole,Fr.,S,5-3,"Woodland Hills, CA",Sierra Canyon,306,Big Ten,Big Ten Conference,"Indiana University, Bloomington",D-I,Indiana
18,Avery Daum,Fr.,RS,6-2,"Peachtree Corners, GA",Wesleyan School,306,Big Ten,Big Ten Conference,"Indiana University, Bloomington",D-I,Indiana
23,Delaynie Maple,Sr.,DS,5-10,"San Diego, CA",Torrey Pines,306,Big Ten,Big Ten Conference,"Indiana University, Bloomington",D-I,Indiana
24,Reese Hazelton,Fr.,OH,6-2,"State College, PA",Phillipsbug-Osceola,306,Big Ten,Big Ten Conference,"Indiana University, Bloomington",D-I,Indiana
27,Ella Boersema,Fr.,MB,6-2,"Churubusco, IN",Churubusco,306,Big Ten,Big Ten Conference,"Indiana University, Bloomington",D-I,Indiana
25,Jaide Cummings,Sr.,DS,5-8,"Buffalo, NY",Clarence,306,Big Ten,Big Ten Conference,"Indiana University, Bloomington",D-I,Indiana
16,Abby Stratford,Sr.,MB,6-3,"Columbus, OH",Bishop Watterson,308,HL,Horizon League,Purdue University Fort Wayne,D-I,Purdue Fort Wayne
15,Nicole Jones,Sr.,S,5-9,"Evergreen Park, IL",Marist,308,HL,Horizon League,Purdue University Fort Wayne,D-I,Purdue Fort Wayne
20,Taya Haffner,Sr.,S,5-11,"Fort Wayne, IN",Carroll,308,HL,Horizon League,Purdue University Fort Wayne,D-I,Purdue Fort Wayne
4,LonDynn Betts,Jr.,L,5-5,"Fort Wayne, IN",Concordia Lutheran,308,HL,Horizon League,Purdue University Fort Wayne,D-I,Purdue Fort Wayne
10,Panna Ratkai,So.,OH,5-11,"Budapest, Hungary",Gödölloi Török Ignác Gimnázium,308,HL,Horizon League,Purdue University Fort Wayne,D-I,Purdue Fort Wayne
19,Jena Medearis,Jr.,MB,6-0,"Nixa, MO",Nixa,308,HL,Horizon League,Purdue University Fort Wayne,D-I,Purdue Fort Wayne
21,Iris Riegel,Jr.,OH,6-1,"Kettering, OH",Fairmont,308,HL,Horizon League,Purdue University Fort Wayne,D-I,Purdue Fort Wayne
3,Becky Barrett,So.,DS,5-4,"Athens, IL",Athens,308,HL,Horizon League,Purdue University Fort Wayne,D-I,Purdue Fort Wayne
14,Kennedy McCants,So.,MB,5-11,"North Augusta, SC",North Augusta,308,HL,Horizon League,Purdue University Fort Wayne,D-I,Purdue Fort Wayne
2,Meg Berkland,Fr.,L,5-5,"Williamsburg, IA",Clear Creek Amana,308,HL,Horizon League,Purdue University Fort Wayne,D-I,Purdue Fort Wayne
5,Mya Plemons,Fr.,MB,5-11,"Huntington, IN",Huntington,308,HL,Horizon League,Purdue University Fort Wayne,D-I,Purdue Fort Wayne
6,Riley Rosneck,Fr.,OH,6-0,"Cleveland, OH",Kenston,308,HL,Horizon League,Purdue University Fort Wayne,D-I,Purdue Fort Wayne
7,Jaelyn Hall,Fr.,OPP,6-2,"Temperance, MI",Bedford,308,HL,Horizon League,Purdue University Fort Wayne,D-I,Purdue Fort Wayne
8,Miona Dimitric,Fr.,OH,6-0,"Backa Topola, Serbia",Mitrovacka Gimnazija,308,HL,Horizon League,Purdue University Fort Wayne,D-I,Purdue Fort Wayne
9,Jen Soto,Sr.,MB,6-2,"Phoenix, AZ",Desert Vista,310,MAAC,Metro Atlantic Athletic Conference,Iona University,D-I,Iona
24,Grace Ehler,Sr.,RS,6-2,"Tucson, AZ",Marana,310,MAAC,Metro Atlantic Athletic Conference,Iona University,D-I,Iona
1,Makenna Casper,Sr.,MB,6-1,"Webster, NY",Our Lady of Mercy,310,MAAC,Metro Atlantic Athletic Conference,Iona University,D-I,Iona
23,Gia Skenderi,Sr.,OH,6-0,"Queens, NY",Mary Louis Academy,310,MAAC,Metro Atlantic Athletic Conference,Iona University,D-I,Iona
11,Mackenzie Wiggins,Sr.,OH,5-10,"Corpus Christi, TX",Flour Bluff,310,MAAC,Metro Atlantic Athletic Conference,Iona University,D-I,Iona
12,Micaela Ladjevic,Sr.,OH,5-10,"Long Beach, CA",St. Joseph,310,MAAC,Metro Atlantic Athletic Conference,Iona University,D-I,Iona
5,Emma Vu,Sr.,S,5-5,"Allen, TX",Allen,310,MAAC,Metro Atlantic Athletic Conference,Iona University,D-I,Iona
13,Jordan Ader,Jr.,S,5-9,"Highland Mills, NY",Monroe Woodbury,310,MAAC,Metro Atlantic Athletic Conference,Iona University,D-I,Iona
10,Rose Porter,Jr.,DS,5-8,"Atlanta, GA",St Pius X,310,MAAC,Metro Atlantic Athletic Conference,Iona University,D-I,Iona
2,Sanem Bas,So.,OH,5-10,"Bursa, Turkey",TED College,310,MAAC,Metro Atlantic Athletic Conference,Iona University,D-I,Iona
4,Buse Tinaz,So.,MB,5-11,"Bursa, Turkey",TED College,310,MAAC,Metro Atlantic Athletic Conference,Iona University,D-I,Iona
18,Ezzie Thompson,So.,MB,6-0,"Spring Hill, FL",Springstead,310,MAAC,Metro Atlantic Athletic Conference,Iona University,D-I,Iona
8,Ava DeGuzman,So.,OH,5-9,"Junction City, KS",Junction City,310,MAAC,Metro Atlantic Athletic Conference,Iona University,D-I,Iona
7,Avery Gaume,Fr.,L/DS,5-4,"Buffalo, NY",Sweet Home,310,MAAC,Metro Atlantic Athletic Conference,Iona University,D-I,Iona
14,Katherine Ferng,Fr.,RS,5-11,"Lynbrook, NY",Lynbrook,310,MAAC,Metro Atlantic Athletic Conference,Iona University,D-I,Iona
15,Jaylyn Simon,Fr.,S,5-9,"Frederick, MD",Academy of the Holy Cross,310,MAAC,Metro Atlantic Athletic Conference,Iona University,D-I,Iona
17,Kari Smith,Fr.,OH,5-11,"Peachtree City, GA",Star's Mill,310,MAAC,Metro Atlantic Athletic Conference,Iona University,D-I,Iona
19,Taylor Timko,Fr.,OH,5-10,"Ormond Beach, FL",Father Lopez Catholic,310,MAAC,Metro Atlantic Athletic Conference,Iona University,D-I,Iona
