#,Name,Class,Position,Height,Hometown,High School,team_id,team_name,conference_name,school_url,school_athletic_url,state,division,year,team_short,conference_short
4,Carter Stenmark,Sr.,OH,6-3,"Bolingbrook, IL",Naperville Central,30136,Lindenwood University,Midwestern Intercollegiate Volleyball Association,www.lindenwood.edu,lindenwoodlions.com,MO,D-I,2024-25,Lindenwood,MIVA
15,Jake Schreiner,Fr.,OH,6-4,"Winfield, IL",Wheaton North,30136,Lindenwood University,Midwestern Intercollegiate Volleyball Association,www.lindenwood.edu,lindenwoodlions.com,MO,D-I,2024-25,Lindenwood,MIVA
24,Amir Grant,Fr.,MB,6-5,"Los Angeles, CA",Da Vinci Design,30136,Lindenwood University,Midwestern Intercollegiate Volleyball Association,www.lindenwood.edu,lindenwoodlions.com,MO,D-I,2024-25,Lindenwood,MIVA
12,Lincoln Geist,Fr.,L,6-0,"Westmont, IL",Downers Grove North,30136,Lindenwood University,Midwestern Intercollegiate Volleyball Association,www.lindenwood.edu,lindenwoodlions.com,MO,D-I,2024-25,Lindenwood,MIVA
21,Caden Whiteside,Fr.,OH,6-4,"Powell, OH",Olentangy Liberty,30136,Lindenwood University,Midwestern Intercollegiate Volleyball Association,www.lindenwood.edu,lindenwoodlions.com,MO,D-I,2024-25,Lindenwood,MIVA
28,Chris Connelly,So.,L,5-10,"Naples, FL",Gulf Coast HS,99,Long Beach State University,Big West Conference,www.csulb.edu,longbeachstate.com,CA,D-I,2024-25,Long Beach St.,Big West
25,Ryan Peluso,Jr.,OPP,6-2,"Orlando, FL",Winter Park HS,99,Long Beach State University,Big West Conference,www.csulb.edu,longbeachstate.com,CA,D-I,2024-25,Long Beach St.,Big West
29,Josh Weyerhaeuser,So.,MB,6-7,"Gurnee, IL",Warren Township HS,99,Long Beach State University,Big West Conference,www.csulb.edu,longbeachstate.com,CA,D-I,2024-25,Long Beach St.,Big West
4,Skyler Varga,Sr.,OH,6-7,,Muenster Public HS,99,Long Beach State University,Big West Conference,www.csulb.edu,longbeachstate.com,CA,D-I,2024-25,Long Beach St.,Big West
8,Sotiris Siapanis,Sr.,OH,6-3,"Limassol, Cyprus",The Grammar School,99,Long Beach State University,Big West Conference,www.csulb.edu,longbeachstate.com,CA,D-I,2024-25,Long Beach St.,Big West
13,Island Doty,Jr.,S,6-5,"Colorado Springs, CO",Doherty HS,99,Long Beach State University,Big West Conference,www.csulb.edu,longbeachstate.com,CA,D-I,2024-25,Long Beach St.,Big West
16,Nico Lietz,So.,OPP,6-10,"Auckland, New Zealand",,99,Long Beach State University,Big West Conference,www.csulb.edu,longbeachstate.com,CA,D-I,2024-25,Long Beach St.,Big West
19,DiAeris McRaven,Sr.,MB,6-5,"Honolulu, HI",Moanalua HS,99,Long Beach State University,Big West Conference,www.csulb.edu,longbeachstate.com,CA,D-I,2024-25,Long Beach St.,Big West
2,Sebastian Rodriguez,Sr.,OH,6-5,"Hermosa Beach, CA",Redondo Union HS,99,Long Beach State University,Big West Conference,www.csulb.edu,longbeachstate.com,CA,D-I,2024-25,Long Beach St.,Big West
18,Nato Dickinson,Sr.,OPP,6-7,"Corona Del Mar, CA",Corona Del Mar HS,99,Long Beach State University,Big West Conference,www.csulb.edu,longbeachstate.com,CA,D-I,2024-25,Long Beach St.,Big West
22,Caden Jackson,Sr.,L,6-0,"Laguna Niguel, CA",Dana Hills HS,99,Long Beach State University,Big West Conference,www.csulb.edu,longbeachstate.com,CA,D-I,2024-25,Long Beach St.,Big West
24,Noah Robin,Sr.,MB,6-7,"Huntington Beach, CA",Huntington Beach HS,99,Long Beach State University,Big West Conference,www.csulb.edu,longbeachstate.com,CA,D-I,2024-25,Long Beach St.,Big West
10,Connor Bloom,Jr.,OH,6-5,"Huntington Beach, CA",Orange Lutheran HS,99,Long Beach State University,Big West Conference,www.csulb.edu,longbeachstate.com,CA,D-I,2024-25,Long Beach St.,Big West
17,Dane Hillis,Jr.,OH,6-3,"San Clemente, CA",San Clemente HS,99,Long Beach State University,Big West Conference,www.csulb.edu,longbeachstate.com,CA,D-I,2024-25,Long Beach St.,Big West
32,Aidan Powell,So.,OH,6-2,"Laguna Hills, CA",Fairmont Prep Academy,99,Long Beach State University,Big West Conference,www.csulb.edu,longbeachstate.com,CA,D-I,2024-25,Long Beach St.,Big West
21,Sebastiano Sani,So.,OH,6-8,"Bethesda, MD",Walter Johnson HS,99,Long Beach State University,Big West Conference,www.csulb.edu,longbeachstate.com,CA,D-I,2024-25,Long Beach St.,Big West
34,Nate Baddeley,So.,OH,6-5,"Seal Beach, CA",Los Alamitos HS,99,Long Beach State University,Big West Conference,www.csulb.edu,longbeachstate.com,CA,D-I,2024-25,Long Beach St.,Big West
27,Lazar Bouchkov,So.,MB,6-6,"Sofia, Bulgaria",Vasil Levski Sport School,99,Long Beach State University,Big West Conference,www.csulb.edu,longbeachstate.com,CA,D-I,2024-25,Long Beach St.,Big West
6,Ben Braun,Jr.,MB,6-11,"Rancho Mirage, CA",Palm Desert HS,99,Long Beach State University,Big West Conference,www.csulb.edu,longbeachstate.com,CA,D-I,2024-25,Long Beach St.,Big West
30,Ty Carson,So.,OH,6-4,"Aliso Viejo, CA",Aliso Niguel HS,99,Long Beach State University,Big West Conference,www.csulb.edu,longbeachstate.com,CA,D-I,2024-25,Long Beach St.,Big West
31,Daniil Hershtynovich,So.,OPP,6-9,"Toronto, Canada",Hodan Nalayeh,99,Long Beach State University,Big West Conference,www.csulb.edu,longbeachstate.com,CA,D-I,2024-25,Long Beach St.,Big West
11,Kale Spencer,Jr.,S,6-5,"Kula, HI",Kamehameha Schools Maui,361,Long Island University,Northeast Conference,liu.edu,www.liuathletics.com,NY,D-I,2024-25,LIU,NEC
12,Drew McNellis,Jr.,MB,6-6,"Surf City, NJ",Southern Regional,361,Long Island University,Northeast Conference,liu.edu,www.liuathletics.com,NY,D-I,2024-25,LIU,NEC
5,Luca Holanda,Sr.,S,6-2,"Rio de Janeiro, Brazil",Colgio PH,361,Long Island University,Northeast Conference,liu.edu,www.liuathletics.com,NY,D-I,2024-25,LIU,NEC
1,Vanja Petrasinovic,Jr.,OH,6-5,"Kraljevo, Serbia",Gimnazija Kraljevo,361,Long Island University,Northeast Conference,liu.edu,www.liuathletics.com,NY,D-I,2024-25,LIU,NEC
15,Max Cherin,So.,MB,6-5,"Long Beach, CA",,361,Long Island University,Northeast Conference,liu.edu,www.liuathletics.com,NY,D-I,2024-25,LIU,NEC
3,Seamus Flynn,So.,MB,6-5,"Dana Point, CA",Dana Hills,361,Long Island University,Northeast Conference,liu.edu,www.liuathletics.com,NY,D-I,2024-25,LIU,NEC
14,Alex Weinhaus,Sr.,L,5-8,"Smithtown, NY",Smithtown West,361,Long Island University,Northeast Conference,liu.edu,www.liuathletics.com,NY,D-I,2024-25,LIU,NEC
21,Chase Celichowski,Jr.,OH,6-5,"Germantown, WI",Germantown,361,Long Island University,Northeast Conference,liu.edu,www.liuathletics.com,NY,D-I,2024-25,LIU,NEC
16,Roei Horovitz,So.,S,6-3,"Beer Sheva, Israel",Hof Hasharon,361,Long Island University,Northeast Conference,liu.edu,www.liuathletics.com,NY,D-I,2024-25,LIU,NEC
7,Noah Pak,Sr.,L/DS,6-0,"Seoul, South Korea",Moanalua,361,Long Island University,Northeast Conference,liu.edu,www.liuathletics.com,NY,D-I,2024-25,LIU,NEC
20,Heston Cabinian,So.,OH,6-2,"Honolulu, HI",Kamehameha Schools Kapalama,361,Long Island University,Northeast Conference,liu.edu,www.liuathletics.com,NY,D-I,2024-25,LIU,NEC
17,Dominik Budny,So.,MB,6-6,"Brooklyn, NY",Fort Hamilton,361,Long Island University,Northeast Conference,liu.edu,www.liuathletics.com,NY,D-I,2024-25,LIU,NEC
6,Joseph Nunez,So.,L,5-9,"Huntington Beach, CA",Marina,361,Long Island University,Northeast Conference,liu.edu,www.liuathletics.com,NY,D-I,2024-25,LIU,NEC
12,JP Anderson,Jr.,MB,6-3,,,364,Loras College,College Conference of Illinois & Wisconsin,www.loras.edu,www.duhawks.com,IA,D-III,2024-25,Loras,CCIW
4,Hayden Dal Degan,Jr.,S,6-1,,,364,Loras College,College Conference of Illinois & Wisconsin,www.loras.edu,www.duhawks.com,IA,D-III,2024-25,Loras,CCIW
13,Sean Wenzel,Jr.,MB,6-7,,,364,Loras College,College Conference of Illinois & Wisconsin,www.loras.edu,www.duhawks.com,IA,D-III,2024-25,Loras,CCIW
25,Corey Mayotte,Sr.,OH,6-3,,,364,Loras College,College Conference of Illinois & Wisconsin,www.loras.edu,www.duhawks.com,IA,D-III,2024-25,Loras,CCIW
29,Ryan Floyd,Sr.,S,6-0,,,364,Loras College,College Conference of Illinois & Wisconsin,www.loras.edu,www.duhawks.com,IA,D-III,2024-25,Loras,CCIW
7,Brady Oberfoell,So.,L,6-0,,,364,Loras College,College Conference of Illinois & Wisconsin,www.loras.edu,www.duhawks.com,IA,D-III,2024-25,Loras,CCIW
10,Seth Aiello,So.,OH,6-2,,,364,Loras College,College Conference of Illinois & Wisconsin,www.loras.edu,www.duhawks.com,IA,D-III,2024-25,Loras,CCIW
9,Joe Garett,So.,S,6-1,,,364,Loras College,College Conference of Illinois & Wisconsin,www.loras.edu,www.duhawks.com,IA,D-III,2024-25,Loras,CCIW
2,Anthony Schwarz,So.,OH,6-3,,,364,Loras College,College Conference of Illinois & Wisconsin,www.loras.edu,www.duhawks.com,IA,D-III,2024-25,Loras,CCIW
3,Elijah Passey,So.,OH,6-3,,,364,Loras College,College Conference of Illinois & Wisconsin,www.loras.edu,www.duhawks.com,IA,D-III,2024-25,Loras,CCIW
18,Roman Rothermel,So.,MB,6-5,,,364,Loras College,College Conference of Illinois & Wisconsin,www.loras.edu,www.duhawks.com,IA,D-III,2024-25,Loras,CCIW
6,Bryce Robbins,Jr.,OH,6-3,"Phoenix, AZ",Sandra Day O'Connor,371,Loyola University Chicago,Midwestern Intercollegiate Volleyball Association,www.luc.edu,www.loyolaramblers.com,IL,D-I,2024-25,Loyola Chicago,MIVA
9,Ryan McElligott,Jr.,S,6-5,"Mundelein, IL",Mundelein,371,Loyola University Chicago,Midwestern Intercollegiate Volleyball Association,www.luc.edu,www.loyolaramblers.com,IL,D-I,2024-25,Loyola Chicago,MIVA
3,JJ Sowa,Jr.,L,5-11,"Orange, CA",Mater Dei,371,Loyola University Chicago,Midwestern Intercollegiate Volleyball Association,www.luc.edu,www.loyolaramblers.com,IL,D-I,2024-25,Loyola Chicago,MIVA
10,Cooper Evans,Jr.,OH,6-5,"Glenview, IL",Glenbrook South,371,Loyola University Chicago,Midwestern Intercollegiate Volleyball Association,www.luc.edu,www.loyolaramblers.com,IL,D-I,2024-25,Loyola Chicago,MIVA
21,Brad Bell,Jr.,MB,6-9,"Salem, WI",Westosha Central,371,Loyola University Chicago,Midwestern Intercollegiate Volleyball Association,www.luc.edu,www.loyolaramblers.com,IL,D-I,2024-25,Loyola Chicago,MIVA
14,Parker Van Buren,Sr.,OH,6-9,"Cross Plains, WI",Middleton,371,Loyola University Chicago,Midwestern Intercollegiate Volleyball Association,www.luc.edu,www.loyolaramblers.com,IL,D-I,2024-25,Loyola Chicago,MIVA
17,Nicodemus Meyer,Sr.,MB,6-10,"Franklin, WI",Franklin,371,Loyola University Chicago,Midwestern Intercollegiate Volleyball Association,www.luc.edu,www.loyolaramblers.com,IL,D-I,2024-25,Loyola Chicago,MIVA
20,Evan Markworth,Sr.,OH,6-6,"La Grange, IL",Lyons Township,371,Loyola University Chicago,Midwestern Intercollegiate Volleyball Association,www.luc.edu,www.loyolaramblers.com,IL,D-I,2024-25,Loyola Chicago,MIVA
7,Jake Read,So.,OH,6-4,"Newport Beach, CA",Newport Harbor,371,Loyola University Chicago,Midwestern Intercollegiate Volleyball Association,www.luc.edu,www.loyolaramblers.com,IL,D-I,2024-25,Loyola Chicago,MIVA
16,Cole Schobel,So.,S,6-1,"Costa Mesa, CA",Mater Dei,371,Loyola University Chicago,Midwestern Intercollegiate Volleyball Association,www.luc.edu,www.loyolaramblers.com,IL,D-I,2024-25,Loyola Chicago,MIVA
25,Ben Montplaisir,Sr.,MB,6-6,"Irvine, CA",Woodbridge,371,Loyola University Chicago,Midwestern Intercollegiate Volleyball Association,www.luc.edu,www.loyolaramblers.com,IL,D-I,2024-25,Loyola Chicago,MIVA
29,Tyler Howard,So.,OH,6-4,"Anaheim Hills, CA",Canyon,371,Loyola University Chicago,Midwestern Intercollegiate Volleyball Association,www.luc.edu,www.loyolaramblers.com,IL,D-I,2024-25,Loyola Chicago,MIVA
31,Gavin O'Brien,So.,MB,6-8,"Naperville, IL",Neuqua Valley,371,Loyola University Chicago,Midwestern Intercollegiate Volleyball Association,www.luc.edu,www.loyolaramblers.com,IL,D-I,2024-25,Loyola Chicago,MIVA
22,Lukas Anderson,So.,OPP,6-4,"Manhattan Beach, CA",Loyola,371,Loyola University Chicago,Midwestern Intercollegiate Volleyball Association,www.luc.edu,www.loyolaramblers.com,IL,D-I,2024-25,Loyola Chicago,MIVA
27,Aidan Klein,So.,MB,6-9,"Evanston, IL",Evanston Township,371,Loyola University Chicago,Midwestern Intercollegiate Volleyball Association,www.luc.edu,www.loyolaramblers.com,IL,D-I,2024-25,Loyola Chicago,MIVA
28,Daniel Fabikovic,So.,OH,6-6,"Breclav, Czechia",Sportovn gymnzium Dany a Emila Ztopkovch Ostrava,371,Loyola University Chicago,Midwestern Intercollegiate Volleyball Association,www.luc.edu,www.loyolaramblers.com,IL,D-I,2024-25,Loyola Chicago,MIVA
1,Alex Smits Van Oyen,So.,S,6-6,"Huntington Beach, CA",Coronado HS,371,Loyola University Chicago,Midwestern Intercollegiate Volleyball Association,www.luc.edu,www.loyolaramblers.com,IL,D-I,2024-25,Loyola Chicago,MIVA
4,Jackson Reed,Jr.,OH,6-1,"Carlsbad, CA",Cathedral Catholic HS,371,Loyola University Chicago,Midwestern Intercollegiate Volleyball Association,www.luc.edu,www.loyolaramblers.com,IL,D-I,2024-25,Loyola Chicago,MIVA
2,Ben Winokur,Fr.,MB,6-5,"Huntington Beach, CA",Edison,371,Loyola University Chicago,Midwestern Intercollegiate Volleyball Association,www.luc.edu,www.loyolaramblers.com,IL,D-I,2024-25,Loyola Chicago,MIVA
5,Kellen Palmer,Fr.,MB,6-10,"Buffalo, NY",Canisius,371,Loyola University Chicago,Midwestern Intercollegiate Volleyball Association,www.luc.edu,www.loyolaramblers.com,IL,D-I,2024-25,Loyola Chicago,MIVA
23,Jack Jedick,Sr.,OH,-,"Cleveland, OH",,371,Loyola University Chicago,Midwestern Intercollegiate Volleyball Association,www.luc.edu,www.loyolaramblers.com,IL,D-I,2024-25,Loyola Chicago,MIVA
11,Jett Bathurst,Fr.,S,6-3,"Manhattan Beach, CA",Mira Costa,371,Loyola University Chicago,Midwestern Intercollegiate Volleyball Association,www.luc.edu,www.loyolaramblers.com,IL,D-I,2024-25,Loyola Chicago,MIVA
19,Owen Smith,Fr.,L,5-10,"San Jose, CA",Gunderson,371,Loyola University Chicago,Midwestern Intercollegiate Volleyball Association,www.luc.edu,www.loyolaramblers.com,IL,D-I,2024-25,Loyola Chicago,MIVA
15,Will Hatch,Fr.,MB,6-9,"Mill Valley, CA",Tamalpais,371,Loyola University Chicago,Midwestern Intercollegiate Volleyball Association,www.luc.edu,www.loyolaramblers.com,IL,D-I,2024-25,Loyola Chicago,MIVA
6,Jack Mally,Fr.,OH,6-6,"Geneva, IL",Geneva,371,Loyola University Chicago,Midwestern Intercollegiate Volleyball Association,www.luc.edu,www.loyolaramblers.com,IL,D-I,2024-25,Loyola Chicago,MIVA
2,Jared Bergren,Fr.,L,-,"Chandler, AZ",Chandler,374,University of Lynchburg,Old Dominion Athletic Conf.,www.lynchburg.edu/,www.lynchburgsports.com/landing/index,VA,D-III,2024-25,Lynchburg,ODAC
6,Kohlby Wilson,Fr.,RS,-,"Gloucester, VA",Gloucester,374,University of Lynchburg,Old Dominion Athletic Conf.,www.lynchburg.edu/,www.lynchburgsports.com/landing/index,VA,D-III,2024-25,Lynchburg,ODAC
7,Jaxson Haese,Fr.,OH,-,,,374,University of Lynchburg,Old Dominion Athletic Conf.,www.lynchburg.edu/,www.lynchburgsports.com/landing/index,VA,D-III,2024-25,Lynchburg,ODAC
8,Noah Wolff,Fr.,S,5-8,"Eagan, MN",Eagan,374,University of Lynchburg,Old Dominion Athletic Conf.,www.lynchburg.edu/,www.lynchburgsports.com/landing/index,VA,D-III,2024-25,Lynchburg,ODAC
9,Miller Varley,Fr.,S,6-4,"Bayport, NY",Bayport - Blue Point,374,University of Lynchburg,Old Dominion Athletic Conf.,www.lynchburg.edu/,www.lynchburgsports.com/landing/index,VA,D-III,2024-25,Lynchburg,ODAC
13,Josh Rohman,Fr.,S,-,"Lewisberry, PA",Redland,374,University of Lynchburg,Old Dominion Athletic Conf.,www.lynchburg.edu/,www.lynchburgsports.com/landing/index,VA,D-III,2024-25,Lynchburg,ODAC
14,Brayden Berardo,Fr.,L,6-0,"Midlothian, VA",Clover Hill,374,University of Lynchburg,Old Dominion Athletic Conf.,www.lynchburg.edu/,www.lynchburgsports.com/landing/index,VA,D-III,2024-25,Lynchburg,ODAC
15,Mason Kenna,Jr.,OH,6-2,"Charlotte, NC",Charlotte Catholic,374,University of Lynchburg,Old Dominion Athletic Conf.,www.lynchburg.edu/,www.lynchburgsports.com/landing/index,VA,D-III,2024-25,Lynchburg,ODAC
21,Heath Atkins,Fr.,RS,-,,,374,University of Lynchburg,Old Dominion Athletic Conf.,www.lynchburg.edu/,www.lynchburgsports.com/landing/index,VA,D-III,2024-25,Lynchburg,ODAC
22,Bryce Jackson,So.,MH,6-5,"Stallings, NC",Sun Valley,374,University of Lynchburg,Old Dominion Athletic Conf.,www.lynchburg.edu/,www.lynchburgsports.com/landing/index,VA,D-III,2024-25,Lynchburg,ODAC
18,Nick Redding,Fr.,RS,6-2,"San Diego, CA",Coronado,374,University of Lynchburg,Old Dominion Athletic Conf.,www.lynchburg.edu/,www.lynchburgsports.com/landing/index,VA,D-III,2024-25,Lynchburg,ODAC
4,Drew Fetsko,Fr.,OH,6-1,"Midlothian, VA",Midlothian,374,University of Lynchburg,Old Dominion Athletic Conf.,www.lynchburg.edu/,www.lynchburgsports.com/landing/index,VA,D-III,2024-25,Lynchburg,ODAC
1,Sam Pennington,Fr.,MH,6-2,"Myrtle Beach, SC",Myrtle Beach,374,University of Lynchburg,Old Dominion Athletic Conf.,www.lynchburg.edu/,www.lynchburgsports.com/landing/index,VA,D-III,2024-25,Lynchburg,ODAC
3,Matthew Ascetta,Fr.,OH,6-3,"Magnolia, NC",Caesar Rodney,374,University of Lynchburg,Old Dominion Athletic Conf.,www.lynchburg.edu/,www.lynchburgsports.com/landing/index,VA,D-III,2024-25,Lynchburg,ODAC
5,Jeremiah Costello,Fr.,OH,6-3,"Chesterfield, VA",Matoaca,374,University of Lynchburg,Old Dominion Athletic Conf.,www.lynchburg.edu/,www.lynchburgsports.com/landing/index,VA,D-III,2024-25,Lynchburg,ODAC
11,Wyatt Nunes,Fr.,L,6-1,"Lathrop, CA",John C. Kimball,374,University of Lynchburg,Old Dominion Athletic Conf.,www.lynchburg.edu/,www.lynchburgsports.com/landing/index,VA,D-III,2024-25,Lynchburg,ODAC
17,Stefan Kapitanov,So.,MH,-,"Midlothian, VA",Monacan,374,University of Lynchburg,Old Dominion Athletic Conf.,www.lynchburg.edu/,www.lynchburgsports.com/landing/index,VA,D-III,2024-25,Lynchburg,ODAC
8,Emil Morban Medrano,So.,OH,5-10,,,382,Manhattanville University,Skyline Conference,www.mville.edu,www.govaliants.com,NY,D-III,2024-25,Manhattanville,Skyline
2,Wilton Martinez,So.,OH,5-11,,,382,Manhattanville University,Skyline Conference,www.mville.edu,www.govaliants.com,NY,D-III,2024-25,Manhattanville,Skyline
5,Pedro Barros Machado,So.,S,6-0,,,382,Manhattanville University,Skyline Conference,www.mville.edu,www.govaliants.com,NY,D-III,2024-25,Manhattanville,Skyline
3,Jacob Fletcher,So.,MB,6-4,,,382,Manhattanville University,Skyline Conference,www.mville.edu,www.govaliants.com,NY,D-III,2024-25,Manhattanville,Skyline
4,Nash Torres,So.,L,5-11,,,382,Manhattanville University,Skyline Conference,www.mville.edu,www.govaliants.com,NY,D-III,2024-25,Manhattanville,Skyline
15,Jake Rothluebbers,Sr.,RS,6-1,,,382,Manhattanville University,Skyline Conference,www.mville.edu,www.govaliants.com,NY,D-III,2024-25,Manhattanville,Skyline
13,Joe Gandarillas,So.,OH,6-1,,,382,Manhattanville University,Skyline Conference,www.mville.edu,www.govaliants.com,NY,D-III,2024-25,Manhattanville,Skyline
16,Anthony Willis,So.,OH,5-11,,,382,Manhattanville University,Skyline Conference,www.mville.edu,www.govaliants.com,NY,D-III,2024-25,Manhattanville,Skyline
8,Daniel Earnest,So.,DB,-,,,1194,Maranatha Baptist University,DIII Independent,www.mbu.edu/,mbusabercats.com,WI,D-III,2024-25,Maranatha Baptist,DIII Independent
12,Daniel Says,Sr.,OH,6-1,,,1194,Maranatha Baptist University,DIII Independent,www.mbu.edu/,mbusabercats.com,WI,D-III,2024-25,Maranatha Baptist,DIII Independent
14,Luke Nason,Sr.,DB,5-11,,,1194,Maranatha Baptist University,DIII Independent,www.mbu.edu/,mbusabercats.com,WI,D-III,2024-25,Maranatha Baptist,DIII Independent
16,Jonathan Knight,Jr.,OH,6-1,,,1194,Maranatha Baptist University,DIII Independent,www.mbu.edu/,mbusabercats.com,WI,D-III,2024-25,Maranatha Baptist,DIII Independent
2,Aaron Joyner,Jr.,DB,5-7,,,1194,Maranatha Baptist University,DIII Independent,www.mbu.edu/,mbusabercats.com,WI,D-III,2024-25,Maranatha Baptist,DIII Independent
11,JJ Schofield,So.,RS,6-3,,,1194,Maranatha Baptist University,DIII Independent,www.mbu.edu/,mbusabercats.com,WI,D-III,2024-25,Maranatha Baptist,DIII Independent
3,Trent Goo Sun,Sr.,OH,6-0,"Honolulu, HI",University Laboratory,1196,Marian University (Wisconsin),Northern Athletics Collegiate Conference,www.marianuniversity.edu,www.sabreathletics.com,WI,D-III,2024-25,Marian (WI),NACC
19,Robbie Sapita,Sr.,OH,6-1,"Sycamore, IL",Sycamore,1196,Marian University (Wisconsin),Northern Athletics Collegiate Conference,www.marianuniversity.edu,www.sabreathletics.com,WI,D-III,2024-25,Marian (WI),NACC
2,CJ Kendrick,Jr.,OH,5-11,"Palatine, IL",Palatine,1196,Marian University (Wisconsin),Northern Athletics Collegiate Conference,www.marianuniversity.edu,www.sabreathletics.com,WI,D-III,2024-25,Marian (WI),NACC
23,Dante Pulphus,Sr.,OH,6-1,"Chicago, IL",Back of the Yards College Prep,1196,Marian University (Wisconsin),Northern Athletics Collegiate Conference,www.marianuniversity.edu,www.sabreathletics.com,WI,D-III,2024-25,Marian (WI),NACC
11,Isaac Dreifuerst,Sr.,OH,6-0,"Fond Du Lac, WI",Fond du Lac,1196,Marian University (Wisconsin),Northern Athletics Collegiate Conference,www.marianuniversity.edu,www.sabreathletics.com,WI,D-III,2024-25,Marian (WI),NACC
17,Keanu Ouranitsas-Hayes,Sr.,MB,6-3,"Hilo, HI",Ke Kula 'O Nawahiokalaniopuu,1196,Marian University (Wisconsin),Northern Athletics Collegiate Conference,www.marianuniversity.edu,www.sabreathletics.com,WI,D-III,2024-25,Marian (WI),NACC
16,Rudy Badua,So.,DB,5-2,"Honolulu, HI",William McKinley,1196,Marian University (Wisconsin),Northern Athletics Collegiate Conference,www.marianuniversity.edu,www.sabreathletics.com,WI,D-III,2024-25,Marian (WI),NACC
20,Jonathon Vertiz,So.,S,5-8,"Zion, IL",Zion-Benton Township,1196,Marian University (Wisconsin),Northern Athletics Collegiate Conference,www.marianuniversity.edu,www.sabreathletics.com,WI,D-III,2024-25,Marian (WI),NACC
10,Carter Shogren,So.,OH,5-10,"Zion, IL",Zion-Benton Township,1196,Marian University (Wisconsin),Northern Athletics Collegiate Conference,www.marianuniversity.edu,www.sabreathletics.com,WI,D-III,2024-25,Marian (WI),NACC
27,JJ Ross,So.,RS,6-2,"Madison, WI",La Follette,1196,Marian University (Wisconsin),Northern Athletics Collegiate Conference,www.marianuniversity.edu,www.sabreathletics.com,WI,D-III,2024-25,Marian (WI),NACC
7,Derek Wills,Sr.,OH,6-4,"Dubuque, IA",Hempstead,1196,Marian University (Wisconsin),Northern Athletics Collegiate Conference,www.marianuniversity.edu,www.sabreathletics.com,WI,D-III,2024-25,Marian (WI),NACC
1,Aaron Velasco,Sr.,OH,5-8,"Honolulu, HI",William McKinley,1196,Marian University (Wisconsin),Northern Athletics Collegiate Conference,www.marianuniversity.edu,www.sabreathletics.com,WI,D-III,2024-25,Marian (WI),NACC
4,Abel Bassett,Sr.,MB,6-1,"Grayslake, IL",Grayslake North,1196,Marian University (Wisconsin),Northern Athletics Collegiate Conference,www.marianuniversity.edu,www.sabreathletics.com,WI,D-III,2024-25,Marian (WI),NACC
6,Javean Velasco,Jr.,RS,6-2,"Honolulu, HI",William McKinley,1196,Marian University (Wisconsin),Northern Athletics Collegiate Conference,www.marianuniversity.edu,www.sabreathletics.com,WI,D-III,2024-25,Marian (WI),NACC
9,Adrian Calderon,Fr.,OH,5-10,"Carolina, Puerto Rico",Saint John's,1196,Marian University (Wisconsin),Northern Athletics Collegiate Conference,www.marianuniversity.edu,www.sabreathletics.com,WI,D-III,2024-25,Marian (WI),NACC
26,Ghreysen Scully,Fr.,MB,6-0,"Kunia, HI",Leilehua,1196,Marian University (Wisconsin),Northern Athletics Collegiate Conference,www.marianuniversity.edu,www.sabreathletics.com,WI,D-III,2024-25,Marian (WI),NACC
24,Andrew Briones,Jr.,DB,5-9,"Villa Park, IL",Montini Catholic,1196,Marian University (Wisconsin),Northern Athletics Collegiate Conference,www.marianuniversity.edu,www.sabreathletics.com,WI,D-III,2024-25,Marian (WI),NACC
13,Fer Gutierrez,Fr.,MB,5-10,"Madera, CA",Madera South,1196,Marian University (Wisconsin),Northern Athletics Collegiate Conference,www.marianuniversity.edu,www.sabreathletics.com,WI,D-III,2024-25,Marian (WI),NACC
21,Juan Gomez,Fr.,OH,5-10,"Chicago, IL",St. Lawrence,1196,Marian University (Wisconsin),Northern Athletics Collegiate Conference,www.marianuniversity.edu,www.sabreathletics.com,WI,D-III,2024-25,Marian (WI),NACC
12,Mikala Abagon,Fr.,DB,5-7,"Mililani, HI",Mililani,1196,Marian University (Wisconsin),Northern Athletics Collegiate Conference,www.marianuniversity.edu,www.sabreathletics.com,WI,D-III,2024-25,Marian (WI),NACC
25,Giancarlo Bou,Fr.,S,5-8,"San Juan, Puerto Rico",Saint John's,1196,Marian University (Wisconsin),Northern Athletics Collegiate Conference,www.marianuniversity.edu,www.sabreathletics.com,WI,D-III,2024-25,Marian (WI),NACC
1,Esteban Jauregui,Jr.,OH,6-5,,,394,Marymount University (Virginia),Continental Volleyball Conference,www.marymount.edu/,www.marymountsaints.com,VA,D-III,2024-25,Marymount (VA),CVC
11,Nickolas Blose,Sr.,OH,6-3,,,394,Marymount University (Virginia),Continental Volleyball Conference,www.marymount.edu/,www.marymountsaints.com,VA,D-III,2024-25,Marymount (VA),CVC
25,Luke Pogue,Sr.,MB,6-7,,,394,Marymount University (Virginia),Continental Volleyball Conference,www.marymount.edu/,www.marymountsaints.com,VA,D-III,2024-25,Marymount (VA),CVC
30,Will Wright,Sr.,OH,6-1,,,394,Marymount University (Virginia),Continental Volleyball Conference,www.marymount.edu/,www.marymountsaints.com,VA,D-III,2024-25,Marymount (VA),CVC
99,Meledje M'Baye,So.,MB,6-4,,,394,Marymount University (Virginia),Continental Volleyball Conference,www.marymount.edu/,www.marymountsaints.com,VA,D-III,2024-25,Marymount (VA),CVC
