date,match,box_score_url,div
01/11/2025,"Chatham (PAC) vs Hiram (AMCC) [0-3] (15-25, 22-25, 14-25)",https://stats.ncaa.org/contests/6081573/box_score,D-III
01/11/2025,"Elmira (UVC) vs Wilkes (CVC) [3-1] (25-20, 25-22, 22-25, 25-22)",https://stats.ncaa.org/contests/6081574/box_score,D-III
01/11/2025,"St. John Fisher (UVC) vs Mt. St. Joseph (MCVL) [3-0] (25-19, 25-18, 25-20)",https://stats.ncaa.org/contests/6081575/box_score,D-III
01/11/2025,"Thiel (PAC) vs Wittenberg (MCVL) [1-3] (22-25, 25-19, 21-25, 19-25)",https://stats.ncaa.org/contests/6081576/box_score,D-III
01/11/2025,"Lasell (Great Northeast) vs Misericordia (Middle Atlantic) [3-1] (25-20, 25-23, 20-25, 25-16)",https://stats.ncaa.org/contests/6081577/box_score,D-III
01/11/2025,"Westminster (MO) (na) vs Nazareth (UVC) [0-3] (21-25, 21-25, 19-25)",https://stats.ncaa.org/contests/6081578/box_score,D-III
01/11/2025,"Chatham (PAC) vs Juniata (CVC) [0-3] (12-25, 12-25, 17-25)",https://stats.ncaa.org/contests/6081579/box_score,D-III
01/11/2025,"Mt. St. Joseph (MCVL) vs Trine (MCVL) [3-0] (25-22, 25-10, 25-19)",https://stats.ncaa.org/contests/6081580/box_score,D-III
01/11/2025,"Lasell (Great Northeast) vs Nazareth (UVC) [3-1] (25-16, 26-24, 17-25, 25-16)",https://stats.ncaa.org/contests/6081563/box_score,D-III
01/11/2025,"Wis. Lutheran (NACC) vs Cal Lutheran (DIII Independent) [0-3] (22-25, 16-25, 11-25)",https://stats.ncaa.org/contests/6081566/box_score,D-III
01/11/2025,"Hiram (AMCC) vs Juniata (CVC) [0-3] (15-25, 12-25, 17-25)",https://stats.ncaa.org/contests/6081562/box_score,D-III
01/11/2025,"Tusculum (DI Independent) vs UC Santa Barbara (Big West) [0-3] (15-25, 22-25, 21-25)",https://stats.ncaa.org/contests/6083853/box_score,D-I
01/11/2025,"Eastern (Middle Atlantic) vs Wilkes (CVC) [3-1] (25-20, 26-24, 23-25, 25-10)",https://stats.ncaa.org/contests/6081560/box_score,D-III
01/11/2025,"Columbus Fury vs San Diego Mojo [1-3] (18-25, 25-21, 19-25, 22-25)",https://widgets.volleystation.com/team-stats/2160919,Pro Women
01/11/2025,"Orlando Valkyries vs Indy Ignite [1-3] (25-13, 19-25, 17-25, 21-25)",https://widgets.volleystation.com/team-stats/2160920,Pro Women
01/11/2025,"Omaha Supernovas vs Grand Rapids Rise [3-0] (25-21, 25-23, 25-22)",https://widgets.volleystation.com/team-stats/2160922,Pro Women
01/11/2025,"Menlo (MPSF) vs CSUN (Big West) [1-3] (26-24, 19-25, 22-25, 23-25)",https://stats.ncaa.org/contests/6083846/box_score,D-I
01/11/2025,"Barton (Conference Carolinas) vs Barry (DI Independent) [0-3] (27-29, 24-26, 23-25)",https://stats.ncaa.org/contests/6083847/box_score,D-I
01/11/2025,"Concordia Chicago (NACC) vs Wittenberg (MCVL) [0-3] (23-25, 14-25, 17-25)",https://stats.ncaa.org/contests/6081561/box_score,D-III
01/11/2025,"Fort Valley St. (SIAC) vs Ohio St. (MIVA) [0-3] (13-25, 18-25, 16-25)",https://stats.ncaa.org/contests/6083849/box_score,D-I
01/11/2025,"Charleston (WV) (EIVA) vs Queens (NC) (MIVA) [1-3] (19-25, 19-25, 25-14, 22-25)",https://stats.ncaa.org/contests/6083850/box_score,D-I
01/11/2025,"Erskine (Conference Carolinas) vs Edward Waters (SIAC) [3-0] (25-19, 25-14, 25-22)",https://stats.ncaa.org/contests/6083851/box_score,D-I
01/11/2025,"Ball St. (MIVA) vs Stanford (MPSF) [0-3] (19-25, 23-25, 28-30)",https://stats.ncaa.org/contests/6083852/box_score,D-I
01/11/2025,"Missouri S&T (DI Independent) vs UC Irvine (Big West) [0-3] (18-25, 21-25, 14-25)",https://stats.ncaa.org/contests/6083848/box_score,D-I
01/11/2025,"Princeton (EIVA) vs Southern California (MPSF) [0-3] (19-25, 21-25, 22-25)",https://stats.ncaa.org/contests/6083854/box_score,D-I
01/11/2025,"Maryville (MO) (DI Independent) vs Loyola Chicago (MIVA) [1-3] (23-25, 16-25, 26-24, 17-25)",https://stats.ncaa.org/contests/6083855/box_score,D-I
01/11/2025,"St. Thomas Aquinas (ECC) vs BYU (MPSF) [0-3] (15-25, 16-25, 16-25)",https://stats.ncaa.org/contests/6083856/box_score,D-I
01/11/2025,"Penn St. (EIVA) vs Lewis (MIVA) [0-3] (15-25, 15-25, 22-25)",https://stats.ncaa.org/contests/6083857/box_score,D-I
01/11/2025,"Daemen (NEC) vs CUI (MPSF) [3-1] (25-15, 25-23, 16-25, 27-25)",https://stats.ncaa.org/contests/6083858/box_score,D-I
01/11/2025,"Grand Canyon (MPSF) vs NJIT (EIVA) [3-1] (20-25, 25-19, 25-17, 25-19)",https://stats.ncaa.org/contests/6083859/box_score,D-I
01/11/2025,"Rockhurst (na) vs McKendree (MIVA) [2-3] (22-25, 35-33, 25-23, 21-25, 18-20)",https://stats.ncaa.org/contests/6083860/box_score,D-I
01/11/2025,"Lancaster Bible (United East) vs Trine (MCVL) [3-2] (25-21, 22-25, 27-25, 18-25, 15-9)",https://stats.ncaa.org/contests/6081559/box_score,D-III
01/12/2025,"Hobart (UVC) vs Misericordia (Middle Atlantic) [3-2] (25-21, 23-25, 25-21, 15-25, 15-10)",https://stats.ncaa.org/contests/6081591/box_score,D-III
01/12/2025,"Russell Sage (NEVC) vs Lasell (Great Northeast) [0-3] (19-25, 15-25, 19-25)",https://stats.ncaa.org/contests/6081590/box_score,D-III
01/12/2025,"Stevens (Middle Atlantic) vs St. Joseph's (L.I.) (Skyline) [3-0] (25-16, 25-18, 25-21)",https://stats.ncaa.org/contests/6081589/box_score,D-III
01/12/2025,"Buffalo St. (AMCC) vs Nazareth (UVC) [1-3] (14-25, 17-25, 25-18, 16-25)",https://stats.ncaa.org/contests/6081588/box_score,D-III
01/12/2025,"Westminster (MO) (na) vs SUNY Poly (NEVC) [3-1] (25-17, 25-17, 27-29, 25-19)",https://stats.ncaa.org/contests/6081587/box_score,D-III
01/12/2025,"Westminster (MO) (na) vs Misericordia (Middle Atlantic) [3-1] (25-21, 21-25, 25-21, 25-22)",https://stats.ncaa.org/contests/6081593/box_score,D-III
01/12/2025,"Russell Sage (NEVC) vs Nazareth (UVC) [0-3] (9-25, 13-25, 14-25)",https://stats.ncaa.org/contests/6081585/box_score,D-III
01/12/2025,"Buffalo St. (AMCC) vs SUNY Poly (NEVC) [3-1] (25-23, 25-19, 21-25, 28-26)",https://stats.ncaa.org/contests/6081592/box_score,D-III
01/12/2025,"Charleston (WV) (EIVA) vs Queens (NC) (MIVA) [2-3] (25-22, 19-25, 25-22, 23-25, 12-15)",https://stats.ncaa.org/contests/6083862/box_score,D-I
01/12/2025,"Atlanta Vibe vs Vegas Thrill [3-0] (25-13, 25-22, 25-20)",https://widgets.volleystation.com/team-stats/2160921,Pro Women
01/12/2025,"Lasell (Great Northeast) vs Hobart (UVC) [0-3] (25-27, 22-25, 25-27)",https://stats.ncaa.org/contests/6081586/box_score,D-III
01/13/2025,"Missouri S&T (DI Independent) vs Pepperdine (MPSF) [0-3] (12-25, 19-25, 7-25)",https://stats.ncaa.org/contests/6083863/box_score,D-I
01/15/2025,"LOVB Austin vs LOVB Atlanta [1-3] (25-18, 23-25, 24-26, 21-25)",https://widgets.volleystation.com/team-stats/2161291,Pro Women
