player_id,full_name,college,hometown,height,jersey_number,headshot_image,pro_experience,player_positions,team
63,Wilma Rivera,Louisville,"Carolina, Puerto Rico",5'8,12,https://provolleyball.com/imgproxy/SaV0xPduCQtZStSCxoZ5IzEaOtU7VZBaOl4Hh7bOz_g/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMS8yMy82ZDcyNTViYS0zNjQ3LTQzOTEtYWNjNS0wYTY0OGM1MDI0ZTIuanBn.jpg,,Setter,Columbus Fury
5,Tori Stringer,Louisville,"Los Gatos, California",5'11,12,https://provolleyball.com/imgproxy/wQu2l3fIfUYM8VZOkiRL4PWQFUIFX7sfBIG8qMBR8hc/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wNC8yOC9kYjE5Yjc4OS00YTA3LTQ3MGQtODc4NS04YWYyNDhkNDg1ODkucG5n.png,,Setter,Columbus Fury
27,Symone Abbott,Northwestern,"Northville, Michigan",6'1,27,https://provolleyball.com/imgproxy/-Yn1kgrespXkgSp26Qg6COrd4kThewUH7HQI4jEZef4/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMi8xOC8wNzQwMjQ4OC0yNWM0LTQxZmEtOWRmZC0wNjM1MTMwMjc0ZTAuanBn.jpg,,Outside Hitter,Grand Rapids Rise
275,Sherridan Atkinson,"Purdue, Long Beach State","Long Beach, California",6'5,nan,https://provolleyball.com/imgproxy/D6y6tpw12T9ypfE8CAbnxQkt0Xmnma4JoT7U1I3X7Vo/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wNy8wMi9mZmEwNTU5NC1hNjQ4LTRjYmMtOWVhZC1lYjczZDhjNjFlODYucG5n.png,,Opposite Hitter,Grand Rapids Rise
2,Ali Bastianelli,Illinois,"Marysville, Michigan",6'3,10,https://provolleyball.com/imgproxy/9EF1PA5-gDAccATU16wvclXO1YwVkk7C9o-f0PU2evY/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMS8zMS8wNDdhMmQzOS0wOTA0LTQ3ODEtYTQ4ZS0xMTI3Y2I5MTU1MzUucG5n.png,,Middle Blocker,Grand Rapids Rise
147,Paige Briggs-Romine,Western Kentucky,"Ortonville, Michigan",5'10,13,https://provolleyball.com/imgproxy/YqiOxIPJ_1CziKvfB2UBKlKAGiq086_Slcgsc_9QuG0/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMS8xNS8wYjY0YTE4Ni03NThiLTRiZTgtOTA2Yy0xOTljODlmOTQxOGYuanBn.jpg,,Outside Hitter,Grand Rapids Rise
35,Marin Grote,Washington,"Burbank, California",6'4,8,https://provolleyball.com/imgproxy/1Qc94UpUsbEc4K4XH-SGkb27kU8HxAH9j1uambc4PJs/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMi8xOC80ZDllMGFiNC00OGEyLTRlMzEtOWI5YS04YTllMGZiYzJjNDAuanBn.jpg,,Middle Blocker,Grand Rapids Rise
32,Alyssa Jensen,Michigan State,"Holland, Michigan",6'4,17,https://provolleyball.com/imgproxy/XXzPscTn8yAy1Z_IrZIHQXYVprkXiEUDZQohAbgM_zk/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMi8xOC9jZjMzMDYzNi02NDUyLTRjZWMtYWYzNS0zMzAxMzYxZGZmMjMuanBn.jpg,,Middle Blocker,Grand Rapids Rise
20,Valeria Leon,Ohio State,"Ponce, Puerto Rico",5'6,3,https://provolleyball.com/imgproxy/UbV_AG6H99RTmIxKeqrTIgBUggOmWQfAJI_Qn2ysMTk/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMS8xOS84NmZmNDM2OC04ZDdlLTRlZTgtODg1NC0xYThkODg2ZTM2OTYucG5n.png,,Libero,Grand Rapids Rise
395,Kaleigh Nelson,Washington,"Salem, Ore.",6'0,6,https://provolleyball.com/imgproxy/AWR_gqvvsL2OXtrHeuto_ZiJ7PrjRvu6-XNJtjstnzQ/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8xMi8xMC82ZWYwNDFiOS1lMDRmLTQwNDQtYTVkZi01Yzg3ZTcyYjE1ZDQuSlBH.jpg,,Opposite Hitter,Grand Rapids Rise
319,Jena Otec,Purdue,"Crystal City, MO",5'10,nan,https://provolleyball.com/imgproxy/MFFG6GRMiD2AvXoLVaFQpRtZ_uGFchqFsUc3x-ckDDM/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wNy8yMi8xZDNkMTM0OS1jODQyLTRmMTktODJmYi02NDZkMDlhOTlkZTcud2VicA.webp,,Libero,Grand Rapids Rise
36,Erika Pritchard,"Penn State, Maryland","Frederick, Maryland",6'3,5,https://provolleyball.com/imgproxy/i_t33eufbD_82gMP7enu7lkOtnWBhJDrRHx15-WDSbQ/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMi8xOC9mNWE1NmJkZi0xNTE2LTQ2OTMtOWUxMS01Y2E1OThkYjNjNzIuanBn.jpg,,Outside Hitter,Grand Rapids Rise
73,August Raskie,Oregon,"Colorado Springs, Colorado",6'2,1,https://provolleyball.com/imgproxy/_xa3NfxRCdbQBFFh9mH7Na7FOFqNX7M7LnXlk9Y6w60/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wNy8wOS9kZDk2OTgyNy05MDhjLTQyMTktYmZiMy04NDI5M2QwNWJlODUucG5n.png,,Setter,Grand Rapids Rise
274,Carli Snyder,Florida,"Macomb, Michigan",6'1,nan,https://provolleyball.com/imgproxy/hoD3mIq_04ktAvSJEtunJcc0dvGbDxfnLNjabhGUrH8/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wNy8wMS8zMjdiOTFjNC1iY2Q1LTRhYzAtOWM2YS1lMmE2M2MwYjA2OGQud2VicA.webp,,Outside Hitter,Grand Rapids Rise
320,MacKenzi Vazquez,Michigan,"Bolingbrook, Illinois",6'1,nan,https://provolleyball.com/imgproxy/r0F45hQ_FhAnFuVAp-3NleL46R6jcHjhz4nkGVmOIwE/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wNy8zMS8zNjNmZWM2Mi0yMTBiLTQ1NjItOTQzZi0yNWY0NTMwODM4YzIuanBn.jpg,,Setter,Grand Rapids Rise
3,Grace Cleveland,Purdue,"Bloomington, Illinois",6'3,20,https://provolleyball.com/imgproxy/W-Wo5JQLU0NDP4xzHVbToE_zf_k6y4FpE-1zqBAVqfI/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMS8yNC9kZjhhNTE5MC1jOGExLTQ4ZjEtYjNhMC0zNGEyZmZmNGZiZmYuanBn.jpg,,Opposite Hitter,Indy Ignite
170,Gabby Gonzales,Oregon,"Marietta, GA",6'3,15,https://provolleyball.com/imgproxy/-88y6mPCkQ9oao2ldmj9YSRWTUKBfrJzgtzN-O9S5Qg/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMS8yOS82YmJjYzQ3Ni04NjJlLTQ5ODEtOTBjNy1hZDBkYTFlNWNmNjQucG5n.png,,Outside Hitter,Indy Ignite
165,Ainise Havili,University of Kansas,,5'10,21,https://provolleyball.com/imgproxy/lsiQHbkNeYMrqRaW9080isxyDxulLzYegHU9MhKyb5A/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMS8yOS9mYzNmZGViNi03ZWQ0LTRmZjYtYWNmMC0xNTMyYzAxYzQ0MTcucG5n.png,,Setter,Indy Ignite
44,Sydney Hilley,Wisconsin,"Brooklyn Park, Minnesota",6'0,2,https://provolleyball.com/imgproxy/5o72sSh8xgnn1xGD4AuMyB9F13MMQaIaeNtcVQx4g70/rs:fit:2000:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Byb3ZvbGxleWJhbGwtcHJvZC91cGxvYWQvMjAyNC8wMS8xNS85MWZlYWI3NC1jOTlmLTQ5NjctYmQyYy0xZjNiOTc2NTk0NGEuanBn.jpg,,Setter,Indy Ignite
