team_name,team_short,conference_name,conference_short,level,division,sportRegion,school_athletic_url
York College (New York),York (NY),City University of New York Athletic Conference,CUNYAC,NCAA Men,III,REGION I,www.yorkathletics.com
Hilbert College,Hilbert,Allegheny Mountain Collegiate Conference,AMCC,NCAA Men,III,REGION III,www.hilberthawks.com
"University of Hawaii, Manoa",Hawaii,Big West Conference,Big West,NCAA Men,I,WEST REGION,hawaiiathletics.com
Harvard University,Harvard,Eastern Intercollegiate Volleyball Association,EIVA,NCAA Men,I,EAST REGION,gocrimson.com
Greenville University,Greenville,Independent,DIII Independent,NCAA Men,III,UNASSIGNED,www.greenville.edu/athletics
Grand Canyon University,Grand Canyon,Mountain Pacific Sports Federation,MPSF,NCAA Men,I,WEST REGION,www.gculopes.com
George Mason University,George Mason,Eastern Intercollegiate Volleyball Association,EIVA,NCAA Men,I,EAST REGION,www.gomason.com
Geneva College,Geneva,Allegheny Mountain Collegiate Conference,PAC,NCAA Men,III,REGION III,athletics.geneva.edu
Fort Valley State University,Fort Valley St.,Southern Intercol. Ath. Conf.,SIAC,NCAA Men,II,UNASSIGNED,fvsusports.com/index.aspx
"Fairleigh Dickinson University, Metropolitan Campus",FDU,Northeast Conference,NEC,NCAA Men,I,UNASSIGNED,www.fduknights.com
Erskine College,Erskine,Conference Carolinas,Conference Carolinas,NCAA Men,II,EAST REGION,www.erskinesports.com
Endicott College,Endicott,New England Volleyball Conference,NEVC,NCAA Men,III,REGION I,www.ecgulls.com
Emmanuel College (Massachusetts),Emmanuel (MA),Great Northeast Athletic Conference,Great Northeast,NCAA Men,III,REGION I,www.goecsaints.com
Emmanuel University (Georgia),Emmanuel (GA),Conference Carolinas,Conference Carolinas,NCAA Men,II,EAST REGION,www.goeclions.com
Emerson College,Emerson,Great Northeast Athletic Conference,Great Northeast,NCAA Men,III,REGION I,www.emersonlions.com
Elms College,Elms,Great Northeast Athletic Conference,Great Northeast,NCAA Men,III,REGION I,ecblazers.com
Elmira College,Elmira,United Volleyball Conference,UVC,NCAA Men,III,REGION II,athletics.elmira.edu
Elizabethtown College,Elizabethtown,Continental Volleyball Conference,CVC,NCAA Men,III,REGION III,www.etownbluejays.com
Edward Waters University,Edward Waters,Southern Intercol. Ath. Conf.,SIAC,NCAA Men,II,UNASSIGNED,www.ewutigerpride.com
Edgewood College,Edgewood,Northern Athletics Collegiate Conference,NACC,NCAA Men,III,REGION IV,www.EdgewoodCollegeEagles.com
Hiram College,Hiram,Allegheny Mountain Collegiate Conference,PAC,NCAA Men,III,REGION III,www.hiramterriers.com
Eastern University,Eastern,Middle Atlantic Conferences,Middle Atlantic,NCAA Men,III,REGION III,www.goeasterneagles.com
Hobart and William Smith Colleges,Hobart,United Volleyball Conference,UVC,NCAA Men,III,REGION II,www.hwsathletics.com
Houghton University,Houghton,Independent,DIII Independent,NCAA Men,III,REGION II,athletics.houghton.edu
Long Beach State University,Long Beach St.,Big West Conference,Big West,NCAA Men,I,WEST REGION,longbeachstate.com
Lindenwood University,Lindenwood,Midwestern Intercollegiate Volleyball Association,MIVA,NCAA Men,I,MIDWEST REGION,lindenwoodlions.com
Lincoln Memorial University,Lincoln Memorial,Independent,DI Independent,NCAA Men,II,EAST REGION,www.lmurailsplitters.com
Lewis University,Lewis,Midwestern Intercollegiate Volleyball Association,MIVA,NCAA Men,II,MIDWEST REGION,www.lewisflyers.com
Lehman College,Lehman,City University of New York Athletic Conference,CUNYAC,NCAA Men,III,REGION I,www.lehmanathletics.com
Lees-McRae College,Lees-McRae,Conference Carolinas,Conference Carolinas,NCAA Men,II,EAST REGION,lmcbobcats.com
Lasell University,Lasell,Great Northeast Athletic Conference,Great Northeast,NCAA Men,III,REGION I,laserpride.lasell.edu
Lancaster Bible College,Lancaster Bible,United East Conference,United East,NCAA Men,III,REGION II,www.lbcchargers.com
Lakeland University,Lakeland,Northern Athletics Collegiate Conference,NACC,NCAA Men,III,REGION IV,lakelandmuskies.com/
King's College (Pennsylvania),King's (PA),Middle Atlantic Conferences,Middle Atlantic,NCAA Men,III,REGION III,www.kings.edu/athletics
King University,King (TN),Conference Carolinas,Conference Carolinas,NCAA Men,II,EAST REGION,www.kingtornado.com/
Kentucky State University,Kentucky St.,Southern Intercol. Ath. Conf.,SIAC,NCAA Men,II,UNASSIGNED,ksuthorobreds.com
Kean University,Kean,Continental Volleyball Conference,CVC,NCAA Men,III,REGION III,www.keanathletics.com
Juniata College,Juniata,Continental Volleyball Conference,CVC,NCAA Men,III,REGION III,www.juniatasports.net
John Jay College of Criminal Justice,John Jay,City University of New York Athletic Conference,CUNYAC,NCAA Men,III,REGION I,www.johnjayathletics.com
Immaculata University,Immaculata,Independent,DIII Independent,NCAA Men,III,REGION II,www.gomightymacs.com
Illinois Wesleyan University,Ill. Wesleyan,College Conference of Illinois & Wisconsin,CCIW,NCAA Men,III,REGION IV,www.iwusports.com
Illinois Institute of Technology,IIT,Northern Athletics Collegiate Conference,NACC,NCAA Men,III,REGION IV,www.illinoistechathletics.com
Hunter College,Hunter,City University of New York Athletic Conference,CUNYAC,NCAA Men,III,REGION I,www.hunter.cuny.edu/athletics
Hood College,Hood,Middle Atlantic Conferences,Middle Atlantic,NCAA Men,III,REGION III,www.hoodathletics.com
Eastern Mennonite University,East. Mennonite,Old Dominion Athletic Conf.,ODAC,NCAA Men,III,REGION III,www.emuroyals.com
Drew University,Drew,Continental Volleyball Conference,CVC,NCAA Men,III,REGION II,www.drewrangers.com
Dominican University New York,Dominican (NY),East Coast Conference,ECC,NCAA Men,II,UNASSIGNED,www.chargerathletics.com
Bryn Athyn College,Bryn Athyn,United East Conference,United East,NCAA Men,III,REGION II,www.brynathynathletics.com
Brooklyn College,Brooklyn,City University of New York Athletic Conference,CUNYAC,NCAA Men,III,REGION I,brooklyncollegeathletics.com
Brigham Young University,BYU,Mountain Pacific Sports Federation,MPSF,NCAA Men,I,WEST REGION,byucougars.com
Bethany College (West Virginia),Bethany (WV),Presidents' Athletic Conference,PAC,NCAA Men,III,REGION III,bethanybison.com
Benedictine University (Illinois),Benedictine (IL),Northern Athletics Collegiate Conference,NACC,NCAA Men,III,REGION IV,www.benueagles.com
Benedict College,Benedict,Southern Intercol. Ath. Conf.,SIAC,NCAA Men,II,UNASSIGNED,benedicttigers.com
Belmont Abbey College,Belmont Abbey,Conference Carolinas,Conference Carolinas,NCAA Men,II,EAST REGION,www.abbeyathletics.com
Baruch College,Baruch,City University of New York Athletic Conference,CUNYAC,NCAA Men,III,REGION I,www.baruchathletics.com
Barton College,Barton,Conference Carolinas,Conference Carolinas,NCAA Men,II,EAST REGION,www.bartonbulldogs.com
Barry University,Barry,Sunshine State Conference,DI Independent,NCAA Men,II,UNASSIGNED,Www.GoBarryBucs.com
Bard College,Bard,New England Volleyball Conference,NEVC,NCAA Men,III,REGION I,www.bardathletics.com
Ball State University,Ball St.,Midwestern Intercollegiate Volleyball Association,MIVA,NCAA Men,I,MIDWEST REGION,www.ballstatesports.com
Baldwin Wallace University,Baldwin Wallace,Midwest Collegiate Volleyball League,MCVL,NCAA Men,III,REGION IV,www.bwyellowjackets.com/landing/index
Averett University,Averett,Old Dominion Athletic Conf.,ODAC,NCAA Men,III,REGION III,www.averettcougars.com
Aurora University,Aurora,Northern Athletics Collegiate Conference,NACC,NCAA Men,III,REGION IV,athletics.aurora.edu
Augustana College (Illinois),Augustana (IL),College Conference of Illinois & Wisconsin,CCIW,NCAA Men,III,REGION IV,www.athletics.augustana.edu/
Arcadia University,Arcadia,Middle Atlantic Conferences,Middle Atlantic,NCAA Men,III,REGION III,www.arcadiaknights.com/
American International College,American Int'l,East Coast Conference,ECC,NCAA Men,II,UNASSIGNED,aicyellowjackets.com
Adrian College,Adrian,Midwest Collegiate Volleyball League,MCVL,NCAA Men,III,REGION IV,www.adrianbulldogs.com
"Buffalo State, State University of New York",Buffalo St.,Allegheny Mountain Collegiate Conference,AMCC,NCAA Men,III,REGION II,www.buffalostateathletics.com
Cairn University,Cairn,United East Conference,United East,NCAA Men,III,REGION II,www.cairnhighlanders.com
California Lutheran University,Cal Lutheran,Independent,DIII Independent,NCAA Men,III,REGION IV,www.clusports.com
"California State University, Northridge",CSUN,Big West Conference,Big West,NCAA Men,I,WEST REGION,www.GoMatadors.com
Dominican University (Illinois),Dominican (IL),Northern Athletics Collegiate Conference,NACC,NCAA Men,III,REGION IV,www.dustars.com
Dean College,Dean,Great Northeast Athletic Conference,Great Northeast,NCAA Men,III,REGION I,www.deanbulldogs.com/landing/index
Daemen University,Daemen,Northeast Conference,NEC,NCAA Men,II,EAST REGION,daemenwildcats.com/
D'Youville University,D'Youville,Northeast Conference,NEC,NCAA Men,II,WEST REGION,athletics.dyc.edu
Concordia University Wisconsin,Concordia Wisconsin,Northern Athletics Collegiate Conference,NACC,NCAA Men,III,REGION IV,www.cuwfalcons.com
Concordia University Irvine,CUI,Mountain Pacific Sports Federation,MPSF,NCAA Men,II,WEST REGION,www.cuigoldeneagles.com
Concordia University Chicago,Concordia Chicago,Northern Athletics Collegiate Conference,NACC,NCAA Men,III,REGION IV,www.CUCougars.com
The City College of New York,CCNY,City University of New York Athletic Conference,CUNYAC,NCAA Men,III,REGION I,www.ccnyathletics.com
Chatham University,Chatham,Presidents' Athletic Conference,PAC,NCAA Men,III,REGION III,www.gochathamcougars.com
Long Island University,LIU,Northeast Conference,NEC,NCAA Men,I,UNASSIGNED,www.liuathletics.com
University of Charleston (West Virginia),Charleston (WV),Eastern Intercollegiate Volleyball Association,EIVA,NCAA Men,II,EAST REGION,www.ucgoldeneagles.com
Catawba College,Catawba,Independent,DI Independent,NCAA Men,II,UNASSIGNED,www.catawbaathletics.com
Carthage College,Carthage,College Conference of Illinois & Wisconsin,CCIW,NCAA Men,III,REGION IV,athletics.carthage.edu
Carlow University,Carlow,Allegheny Mountain Collegiate Conference,AMCC,NCAA Men,III,REGION III,athletics.carlow.edu/
Calvin University,Calvin,Midwest Collegiate Volleyball League,MCVL,NCAA Men,III,REGION IV,calvinknights.com
"University of California, Santa Cruz",UC Santa Cruz,Independent,DIII Independent,NCAA Men,III,REGION IV,www.goslugs.com/
"University of California, Santa Barbara",UC Santa Barbara,Big West Conference,Big West,NCAA Men,I,WEST REGION,ucsbgauchos.com
"University of California, San Diego",UC San Diego,Big West Conference,Big West,NCAA Men,I,WEST REGION,www.ucsdtritons.com
"University of California, Los Angeles",UCLA,Mountain Pacific Sports Federation,MPSF,NCAA Men,I,WEST REGION,www.uclabruins.com
"University of California, Irvine",UC Irvine,Big West Conference,Big West,NCAA Men,I,WEST REGION,https://ucirvinesports.com/
Central State University,Central St. (OH),Southern Intercol. Ath. Conf.,SIAC,NCAA Men,II,UNASSIGNED,www.maraudersports.com
Loras College,Loras,College Conference of Illinois & Wisconsin,CCIW,NCAA Men,III,REGION IV,www.duhawks.com
Yeshiva University,Yeshiva,Skyline Conference,Skyline,NCAA Men,III,REGION II,www.yumacs.com
University of Lynchburg,Lynchburg,Old Dominion Athletic Conf.,ODAC,NCAA Men,III,UNASSIGNED,www.lynchburgsports.com/landing/index
St. Thomas Aquinas College,St. Thomas Aquinas,East Coast Conference,ECC,NCAA Men,II,UNASSIGNED,https://www.stacathletics.com/landing/index
St. Norbert College,St. Norbert,Northern Athletics Collegiate Conference,NACC,NCAA Men,III,REGION IV,athletics.snc.edu
"St. Joseph's University, New York L.I.",St. Joseph's (L.I.),Skyline Conference,Skyline,NCAA Men,III,REGION II,www.sjliathletics.com
St. Joseph's University NY (Brooklyn),St. Joseph's (Brkln),Skyline Conference,Skyline,NCAA Men,III,REGION II,sjbkathletics.com/landing/index
St. John Fisher University,St. John Fisher,United Volleyball Conference,UVC,NCAA Men,III,REGION II,www.sjfathletics.com
Saint Francis University ,Saint Francis,Northeast Conference,NEC,NCAA Men,I,EAST REGION,www.sfuathletics.com
Springfield College,Springfield,Independent,DIII Independent,NCAA Men,III,REGION I,springfield.edu/directory/athletics
Southern Virginia University,Southern Va.,Continental Volleyball Conference,CVC,NCAA Men,III,REGION III,knightathletics.com
University of Southern California,Southern California,Mountain Pacific Sports Federation,MPSF,NCAA Men,I,WEST REGION,usctrojans.com
Simpson College,Simpson,Independent,DIII Independent,NCAA Men,III,REGION IV,simpsonathletics.com
Sarah Lawrence College,Sarah Lawrence,Skyline Conference,Skyline,NCAA Men,III,REGION II,www.gogryphons.com
Saint Elizabeth University,Saint Elizabeth,United East Conference,United East,NCAA Men,III,REGION II,seueagles.com
Sacred Heart University,Sacred Heart,Eastern Intercollegiate Volleyball Association,EIVA,NCAA Men,I,EAST REGION,sacredheartpioneers.com
"Rutgers, The State Univ. of New Jersey, Newark",Rutgers-Newark,Continental Volleyball Conference,CVC,NCAA Men,III,REGION III,www.rutgersnewarkathletics.com
Russell Sage College,Russell Sage,New England Volleyball Conference,NEVC,NCAA Men,III,REGION I,www.sagegators.com
Roosevelt University,Roosevelt,Independent,DI Independent,NCAA Men,II,UNASSIGNED,www.rooseveltlakers.com
Rockford University,Rockford,Northern Athletics Collegiate Conference,NACC,NCAA Men,III,REGION IV,www.rockfordregents.com
Roberts Wesleyan University,Roberts Wesleyan,East Coast Conference,ECC,NCAA Men,II,UNASSIGNED,www.robertsredhawks.com
Roanoke College,Roanoke,Old Dominion Athletic Conf.,ODAC,NCAA Men,III,REGION III,maroons.roanoke.edu/
Saint Vincent College,Saint Vincent,Presidents' Athletic Conference,PAC,NCAA Men,III,REGION III,www.athletics.stvincent.edu
Rivier University,Rivier,Great Northeast Athletic Conference,Great Northeast,NCAA Men,III,REGION I,www.rivierathletics.com
Stanford University,Stanford,Mountain Pacific Sports Federation,MPSF,NCAA Men,I,WEST REGION,gostanford.com/
Stevenson University,Stevenson,Middle Atlantic Conferences,Middle Atlantic,NCAA Men,III,REGION III,www.gomustangsports.com
Loyola University Chicago,Loyola Chicago,Midwestern Intercollegiate Volleyball Association,MIVA,NCAA Men,I,MIDWEST REGION,www.loyolaramblers.com
Wittenberg University,Wittenberg,Midwest Collegiate Volleyball League,MCVL,NCAA Men,III,REGION IV,www.wittenbergtigers.com
University of Wisconsin-Stevens Point,Wis.-Stevens Point,Wisconsin Intercollegiate Athletic Conference,DIII Independent,NCAA Men,III,REGION IV,athletics.uwsp.edu
Wisconsin Lutheran College,Wis. Lutheran,Northern Athletics Collegiate Conference,NACC,NCAA Men,III,REGION IV,www.wlcsports.com/landing/index
Wilson College,Wilson,United East Conference,United East,NCAA Men,III,REGION II,www.wilsonphoenix.com
Wilkes University,Wilkes,Continental Volleyball Conference,CVC,NCAA Men,III,REGION II,www.gowilkesu.com
Widener University,Widener,Middle Atlantic Conferences,Middle Atlantic,NCAA Men,III,REGION III,www.widenerpride.com
Wentworth Institute of Technology,Wentworth,Great Northeast Athletic Conference,Great Northeast,NCAA Men,III,REGION I,www.wentworthathletics.com
Warren Wilson College,Warren Wilson,Independent,DIII Independent,NCAA Men,III,REGION III,warrenwilsonowls.com/landing/index
Wabash College,Wabash,Midwest Collegiate Volleyball League,MCVL,NCAA Men,III,REGION IV,sports.wabash.edu
Virginia Wesleyan University,Va. Wesleyan,Old Dominion Athletic Conf.,ODAC,NCAA Men,III,REGION III,vwuathletics.com
Vermont State University-Johnson,VTSU-Johnson,New England Volleyball Conference,NEVC,NCAA Men,III,REGION I,nvubadgers.com/landing/index
Vassar College,Vassar,United Volleyball Conference,UVC,NCAA Men,III,REGION II,www.vassarathletics.com/
University of Valley Forge,Valley Forge,United East Conference,United East,NCAA Men,III,REGION II,uvfpatriots.com
The University of Olivet ,Olivet,Midwest Collegiate Volleyball League,MCVL,NCAA Men,III,REGION IV,www.olivetcomets.com
Tusculum University,Tusculum,Independent,DI Independent,NCAA Men,II,UNASSIGNED,www.tusculumpioneers.com
Trine University,Trine,Midwest Collegiate Volleyball League,MCVL,NCAA Men,III,REGION IV,www.trinethunder.com
Thomas More University,Thomas More,Independent,DI Independent,NCAA Men,II,UNASSIGNED,www.thomasmoresaints.com
Thiel College,Thiel,Presidents' Athletic Conference,PAC,NCAA Men,III,REGION III,www.thielathletics.com
Stevens Institute of Technology,Stevens,Middle Atlantic Conferences,Middle Atlantic,NCAA Men,III,REGION III,www.stevensducks.com
Regis College (Massachusetts),Regis (MA),Great Northeast Athletic Conference,Great Northeast,NCAA Men,III,REGION I,www.goregispride.com
State University of New York at Old Westbury,Old Westbury,Skyline Conference,Skyline,NCAA Men,III,REGION II,www.oldwestburypanthers.com
Ramapo College,Ramapo,Skyline Conference,Skyline,NCAA Men,III,REGION II,www.ramapoathletics.com
University of Mount Saint Vincent,UMSV,Skyline Conference,Skyline,NCAA Men,III,REGION II,cmsvathletics.com/
Mount St. Joseph University,Mt. St. Joseph,Midwest Collegiate Volleyball League,MCVL,NCAA Men,III,REGION IV,www.msjlions.com
University of Mount Olive,Mount Olive,Conference Carolinas,Conference Carolinas,NCAA Men,II,EAST REGION,www.umotrojans.com
Mount Aloysius College,Mount Aloysius,Allegheny Mountain Collegiate Conference,AMCC,NCAA Men,III,REGION III,www.mountieathletics.com
Morehouse College,Morehouse,Southern Intercol. Ath. Conf.,SIAC,NCAA Men,II,UNASSIGNED,www.morehouseathletics.com
Missouri University of Science and Technology,Missouri S&T,Great Lakes Valley Conference,DI Independent,NCAA Men,II,UNASSIGNED,www.minerathletics.com
Misericordia University,Misericordia,Middle Atlantic Conferences,Middle Atlantic,NCAA Men,III,REGION III,www.misericordia.edu/athletics
Milwaukee School of Engineering,MSOE,Northern Athletics Collegiate Conference,NACC,NCAA Men,III,REGION IV,go-raiders.com
Merrimack College,Merrimack,Independent,NEC,NCAA Men,I,UNASSIGNED,www.merrimackathletics.com
Menlo College,Menlo,Mountain Pacific Sports Federation,MPSF,NCAA Men,II,UNASSIGNED,menloathletics.com/
Medgar Evers College,Medgar Evers,City University of New York Athletic Conference,CUNYAC,NCAA Men,III,REGION I,www.mecathletics.com
McKendree University,McKendree,Midwestern Intercollegiate Volleyball Association,MIVA,NCAA Men,II,MIDWEST REGION,www.mckbearcats.com
Massachusetts Institute of Technology,MIT,United Volleyball Conference,UVC,NCAA Men,III,REGION II,www.mitathletics.com
Maryville University of Saint Louis,Maryville (MO),Independent,DI Independent,NCAA Men,II,UNASSIGNED,www.maryvillesaints.com
Marymount University (Virginia),Marymount (VA),Continental Volleyball Conference,CVC,NCAA Men,III,REGION III,www.marymountsaints.com
Marian University (Wisconsin),Marian (WI),Northern Athletics Collegiate Conference,NACC,NCAA Men,III,REGION IV,www.sabreathletics.com
Maranatha Baptist University,Maranatha Baptist,Independent,DIII Independent,NCAA Men,III,REGION IV,mbusabercats.com
Randolph-Macon College,Randolph-Macon,Old Dominion Athletic Conf.,ODAC,NCAA Men,III,REGION III,www.rmcathletics.com
Manhattanville University,Manhattanville,Skyline Conference,Skyline,NCAA Men,III,REGION II,www.govaliants.com
University of Mount Union,Mount Union,Midwest Collegiate Volleyball League,MCVL,NCAA Men,III,REGION IV,athletics.mountunion.edu
Nazareth University,Nazareth,United Volleyball Conference,UVC,NCAA Men,III,REGION II,www.nazathletics.com
Messiah University,Messiah,Middle Atlantic Conferences,Middle Atlantic,NCAA Men,III,REGION III,www.gomessiah.com
New Jersey City University,New Jersey City,Skyline Conference,Skyline,NCAA Men,III,REGION II,www.njcugothicknights.com
Quincy University,Quincy,Midwestern Intercollegiate Volleyball Association,MIVA,NCAA Men,II,MIDWEST REGION,quhawks.com
Queens University of Charlotte,Queens (NC),Midwestern Intercollegiate Volleyball Association,MIVA,NCAA Men,I,EAST REGION,www.queensathletics.com
Neumann University,Neumann,United East Conference,United East,NCAA Men,III,REGION II,www.neumannathletics.com
Purdue University Fort Wayne,Purdue Fort Wayne,Midwestern Intercollegiate Volleyball Association,MIVA,NCAA Men,I,MIDWEST REGION,www.gomastodons.com/
"Purchase College, State University of New York",Purchase,Skyline Conference,Skyline,NCAA Men,III,REGION II,www.purchasecollegeathletics.com
Princeton University,Princeton,Eastern Intercollegiate Volleyball Association,EIVA,NCAA Men,I,EAST REGION,www.goprincetontigers.com
Pratt Institute,Pratt,United East Conference,United East,NCAA Men,III,REGION II,www.goprattgo.com
State University of New York Polytechnic Institute,SUNY Poly,New England Volleyball Conference,NEVC,NCAA Men,III,REGION I,wildcats.sunypoly.edu/landing/index
Pepperdine University,Pepperdine,Mountain Pacific Sports Federation,MPSF,NCAA Men,I,WEST REGION,www.pepperdinewaves.com
Pennsylvania State University,Penn St.,Eastern Intercollegiate Volleyball Association,EIVA,NCAA Men,I,EAST REGION,goPSUsports.com
"Pennsylvania State Univ. Erie, the Behrend College",Penn St.-Behrend,Allegheny Mountain Collegiate Conference,AMCC,NCAA Men,III,REGION III,PSBLions.com
State University of New York at Potsdam,SUNY Potsdam,New England Volleyball Conference,NEVC,NCAA Men,III,REGION I,www.potsdambears.com
"Penn State University, Altoona",Penn St.-Altoona,Allegheny Mountain Collegiate Conference,AMCC,NCAA Men,III,REGION III,www.psaltoonalions.com
New Jersey Institute of Technology,NJIT,Eastern Intercollegiate Volleyball Association,EIVA,NCAA Men,I,EAST REGION,www.njithighlanders.com
New York University,NYU,United Volleyball Conference,UVC,NCAA Men,III,REGION II,www.gonyuathletics.com
Nichols College,Nichols,New England Volleyball Conference,NEVC,NCAA Men,III,REGION I,www.nicholsathletics.com
North Central College,North Central (IL),College Conference of Illinois & Wisconsin,CCIW,NCAA Men,III,REGION IV,northcentralcardinals.com
State University of New York at New Paltz,SUNY New Paltz,United Volleyball Conference,UVC,NCAA Men,III,REGION II,www.nphawks.com
North Park University,North Park,College Conference of Illinois & Wisconsin,CCIW,NCAA Men,III,REGION IV,www.northpark.edu/athletics/
The Ohio State University,Ohio St.,Midwestern Intercollegiate Volleyball Association,MIVA,NCAA Men,I,MIDWEST REGION,ohiostatebuckeyes.com/
North Greenville University,North Greenville,Conference Carolinas,Conference Carolinas,NCAA Men,II,EAST REGION,www.nguathletics.com
Saginaw Valley State University,Saginaw Valley,Great Lakes Intercollegiate Athletic Conference,GLIAC,NCAA Women,II,MIDWEST REGION,www.svsucardinals.com
Rosemont College,Rosemont,United East Conference,United East,NCAA Women,III,REGION IV,www.rosemont-ravens.com
Rose-Hulman Institute of Technology,Rose-Hulman,Heartland Collegiate Athletic Conference,HCAC,NCAA Women,III,REGION VIII,www.rose-hulman.edu/athletics
Rowan University,Rowan,New Jersey Athletic Conference,NJAC,NCAA Women,III,REGION IV,www.rowanathletics.com
Russell Sage College,Russell Sage,Empire 8,Empire 8,NCAA Women,III,REGION III,www.sagegators.com
Roosevelt University,Roosevelt,Great Lakes Intercollegiate Athletic Conference,GLIAC,NCAA Women,II,MIDWEST REGION,www.rooseveltlakers.com
"Rutgers, The State Univ. of New Jersey, Camden",Rutgers-Camden,New Jersey Athletic Conference,NJAC,NCAA Women,III,REGION IV,www.scarletraptors.com
"Rutgers, The State Univ. of New Jersey, Newark",Rutgers-Newark,New Jersey Athletic Conference,NJAC,NCAA Women,III,REGION IV,www.rutgersnewarkathletics.com
"Rutgers, The State University of New Jersey, New Brunswick",Rutgers,Big Ten Conference,Big Ten,NCAA Women,I,MIDWEST REGION,www.scarletknights.com
Sacred Heart University,Sacred Heart,Metro Atlantic Athletic Conference,MAAC,NCAA Women,I,EAST REGION,sacredheartpioneers.com
College of Saint Benedict,Saint Benedict,Minnesota Intercollegiate Athletic Conference,MIAC,NCAA Women,III,REGION IX,www.gobennies.com
Sam Houston State University,Sam Houston,Conference USA,CUSA,NCAA Women,I,SOUTH REGION,www.gobearkats.com
University of Saint Joseph (Connecticut),Saint Joseph (CT),Great Northeast Athletic Conference,Great Northeast,NCAA Women,III,REGION I,www.usjbluejays.com
Saint Joseph's College (Maine),St. Joseph's (ME),Great Northeast Athletic Conference,Great Northeast,NCAA Women,III,REGION I,www.gomonks.com
Salem College (North Carolina),Salem (NC),USA South Athletic Conference,USA South,NCAA Women,III,REGION VI,www.salem.edu/athletics
Salem State University,Salem St.,Massachusetts State Collegiate Athletic Conference,MASCAC,NCAA Women,III,REGION II,www.salemstatevikings.com
Salem University (West Virginia),Salem (WV),Independent,DII Independent,NCAA Women,II,ATLANTIC REGION,www.salemtigers.com
Salisbury University,Salisbury,Coast-To-Coast Athletic Conference,C2C,NCAA Women,III,REGION V,www.suseagulls.com
Salve Regina University,Salve Regina,New England Women's and Men's Athletic Conference,NEWMAC,NCAA Women,III,REGION II,www.salveathletics.com
Samford University,Samford,Southern Conference,SoCon,NCAA Women,I,SOUTHEAST REGION,samfordsports.com
Rollins College,Rollins,Sunshine State Conference,Sunshine State,NCAA Women,II,SOUTH REGION,RollinsSports.com
University of San Diego,San Diego,West Coast Conference,WCC,NCAA Women,I,WEST REGION,www.usdtoreros.com
Saint Elizabeth University,Saint Elizabeth,United East Conference,United East,NCAA Women,III,REGION IV,seueagles.com
Roger Williams University,Roger Williams,Conference of New England,CNE,NCAA Women,III,REGION II,www.rwuhawks.com
Quinnipiac University,Quinnipiac,Metro Atlantic Athletic Conference,MAAC,NCAA Women,I,EAST REGION,www.gobobcats.com
Rockford University,Rockford,Northern Athletics Collegiate Conference,NACC,NCAA Women,III,REGION VIII,www.rockfordregents.com
San Diego State University,San Diego St.,Mountain West Conference,Mountain West,NCAA Women,I,WEST REGION,goaztecs.com
Purdue University Northwest,Purdue Northwest,Great Lakes Intercollegiate Athletic Conference,GLIAC,NCAA Women,II,MIDWEST REGION,www.pnwathletics.com
Queens College (New York),Queens (NY),East Coast Conference,ECC,NCAA Women,II,EAST REGION,www.queensknights.com
Queens University of Charlotte,Queens (NC),Atlantic Sun Conference,ASUN,NCAA Women,I,MIDWEST REGION,www.queensathletics.com
Quincy University,Quincy,Great Lakes Valley Conference,GLVC,NCAA Women,II,MIDWEST REGION,quhawks.com
Radford University,Radford,Big South Conference,Big South,NCAA Women,I,SOUTHEAST REGION,www.radfordathletics.com
Ramapo College,Ramapo,New Jersey Athletic Conference,NJAC,NCAA Women,III,REGION IV,www.ramapoathletics.com
Randolph College,Randolph,Old Dominion Athletic Conf.,ODAC,NCAA Women,III,REGION VI,www.randolphwildcats.com
Randolph-Macon College,Randolph-Macon,Old Dominion Athletic Conf.,ODAC,NCAA Women,III,REGION VI,www.rmcathletics.com
University of Redlands,Redlands,Southern California Intercollegiate Athletic Conf.,SCIAC,NCAA Women,III,REGION X,www.goredlands.com
Regis College (Massachusetts),Regis (MA),Great Northeast Athletic Conference,Great Northeast,NCAA Women,III,REGION I,www.goregispride.com
Rockhurst University,Rockhurst,Great Lakes Valley Conference,GLVC,NCAA Women,II,MIDWEST REGION,www.rockhursthawks.com/
Regis University (Colorado),Regis (CO),Rocky Mountain Athletic Conference,RMAC,NCAA Women,II,SOUTH CENTRAL REGION,www.regisrangers.com
Rhode Island College,Rhode Island Col.,Little East Conference,Little East,NCAA Women,III,REGION I,www.goanchormen.com
Rhodes College,Rhodes,Southern Athletic Association,SAA,NCAA Women,III,REGION VI,www.rhodeslynx.com
Rice University,Rice,American Athletic Conference,The American,NCAA Women,I,SOUTHEAST REGION,www.riceowls.com
Rider University,Rider,Metro Atlantic Athletic Conference,MAAC,NCAA Women,I,EAST REGION,www.gobroncs.com
Ripon College,Ripon,Midwest Conference,MWC,NCAA Women,III,REGION IX,riponredhawks.com/
Rivier University,Rivier,Great Northeast Athletic Conference,Great Northeast,NCAA Women,III,REGION I,www.rivierathletics.com
Roanoke College,Roanoke,Old Dominion Athletic Conf.,ODAC,NCAA Women,III,REGION VI,maroons.roanoke.edu/
Robert Morris University,Robert Morris,Horizon League,Horizon,NCAA Women,I,MIDWEST REGION,www.rmucolonials.com
Roberts Wesleyan University,Roberts Wesleyan,East Coast Conference,ECC,NCAA Women,II,EAST REGION,www.robertsredhawks.com
