,date,match,results,box_score_url
1476,09/15/2024,ULM (Sun Belt) vs Tulane (AAC),"[0-3] (22-25, 18-25, 20-25)",https://stats.ncaa.org/contests/5671370/box_score
1477,09/15/2024,UC Santa Barbara (Big West) vs Pepperdine (WCC),"[0-3] (21-25, 35-37, 23-25)",https://stats.ncaa.org/contests/5671371/box_score
1478,09/15/2024,Lindenwood (OVC) vs Missouri (SEC),"[1-3] (17-25, 16-25, 25-22, 13-25)",https://stats.ncaa.org/contests/5671373/box_score
1479,09/15/2024,San Jose St. (Mountain West) vs Santa Clara (WCC),"[3-2] (25-13, 23-25, 21-25, 25-18, 15-11)",https://stats.ncaa.org/contests/5671374/box_score
1480,09/15/2024,Hampton (CAA) vs UMES (MEAC),"[2-3] (26-24, 25-8, 14-25, 19-25, 8-15)",https://stats.ncaa.org/contests/5671375/box_score
1481,09/15/2024,UMBC (America East) vs Maryland (Big Ten),"[0-3] (12-25, 24-26, 16-25)",https://stats.ncaa.org/contests/5685072/box_score
1482,09/15/2024,UC Davis (Big West) vs Washington (Big Ten),"[1-3] (25-19, 21-25, 19-25, 22-25)",https://stats.ncaa.org/contests/5697066/box_score
1483,09/16/2024,Michigan St. (Big Ten) vs Eastern Mich. (MAC),"[3-0] (25-21, 25-21, 25-20)",https://stats.ncaa.org/contests/5406821/box_score
1484,09/16/2024,UIC (MVC) vs Chicago St. (NEC),"[1-3] (25-21, 22-25, 18-25, 15-25)",https://stats.ncaa.org/contests/5671376/box_score
1485,09/16/2024,Tennessee (SEC) vs Wofford (SoCon),"[2-3] (18-25, 20-25, 25-13, 25-19, 12-15)",https://stats.ncaa.org/contests/5671377/box_score
1486,09/16/2024,Tougaloo (nan) vs Alcorn (SWAC),"[0-3] (20-25, 20-25, 23-25)",https://stats.ncaa.org/contests/5671380/box_score
1487,09/17/2024,Purdue Fort Wayne (Horizon) vs Michigan St. (Big Ten),"[1-3] (14-25, 19-25, 25-21, 22-25)",https://stats.ncaa.org/contests/5406822/box_score
1488,09/17/2024,Tarleton St. (WAC) vs McNeese (Southland),"[2-3] (28-26, 25-22, 25-27, 18-25, 14-16)",https://stats.ncaa.org/contests/5671390/box_score
1489,09/17/2024,Weber St. (Big Sky) vs Utah Valley (WAC),"[1-3] (22-25, 25-20, 27-29, 23-25)",https://stats.ncaa.org/contests/5671395/box_score
1490,09/17/2024,East Carolina (AAC) vs South Carolina (SEC),"[0-3] (20-25, 9-25, 9-25)",https://stats.ncaa.org/contests/5671398/box_score
1491,09/17/2024,Louisiana (Sun Belt) vs Southeastern La. (Southland),"[0-3] (22-25, 20-25, 22-25)",https://stats.ncaa.org/contests/5671400/box_score
1492,09/17/2024,Eastern Ky. (ASUN) vs Marshall (Sun Belt),"[3-1] (25-18, 25-17, 18-25, 25-23)",https://stats.ncaa.org/contests/5671401/box_score
1493,09/17/2024,UNC Asheville (Big South) vs Charlotte (AAC),"[3-2] (20-25, 26-24, 23-25, 25-17, 15-7)",https://stats.ncaa.org/contests/5671402/box_score
1494,09/17/2024,Hampton (CAA) vs Norfolk St. (MEAC),"[0-3] (18-25, 16-25, 24-26)",https://stats.ncaa.org/contests/5671404/box_score
